,fid,tf,y0,y1,nuk1,nuk2,A1,A2,B1,B2
77,1.0000000000000004,1.5538693467336684,-5.0,0.0,-0.06653727885659455,-0.09105082349860072,0.3402059863420166,-26.638876969168827,-11.481801310791072,-0.4890174440671276
78,1.0000000000000004,1.5739195979899498,-5.0,0.0,0.31309622572019336,-0.2667033388299158,-14.435801468922952,-2.9813623798299385,-9.838290505065908,-2.1194558227562825
79,1.0000000000000004,1.593969849246231,-5.0,0.0,0.08473567359891643,-0.25908007806781563,-9.859987984002169,-17.064503410758576,-1.2222104010818342,-12.480607638464475
80,1.0000000000000004,1.6140201005025125,-5.0,0.0,-0.420294622961374,-0.03272439047574349,12.71968319723026,-3.2636486666028497,0.4101679011629544,-0.9852944597814682
81,1.0000000000000004,1.634070351758794,-5.0,0.0,-0.30295240113941024,-0.1148005053573059,16.29324972585442,-20.88896346146225,2.3325730140963397,-1.3905642435442689
82,1.0000000000000004,1.6541206030150755,-5.0,0.0,0.12074502222330685,0.4841772519013111,-4.587025648088637,11.893061565650859,-11.316612297968325,22.786780415859017
83,1.0000000000000004,1.674170854271357,-5.0,0.0,0.055764569282306886,0.12352883786048685,-4.544976735677083,24.539107094308143,3.7602749399749538,3.3543989337303857
84,1.0000000000000004,1.6942211055276382,-5.0,0.0,-0.2788068665475072,0.13597758836432683,-2.17183794036818,21.99262617545274,0.18806051816527347,-0.7271531600165572
85,1.0000000000000004,1.7142713567839196,-5.0,0.0,0.4317288509681112,0.12240774648839448,-17.07887088306892,-0.3995776756047671,-0.3941992995864892,0.08869760678022674
86,1.0000000000000004,1.734321608040201,-5.0,0.0,0.033239079477456746,-0.4396223603827456,-0.04181650647399524,-2.5063164164687652,-8.904600295190159,-3.2982350475126068
87,1.0000000000000004,1.7543718592964825,-5.0,0.0,0.3463192555743507,-0.1403079122570723,-13.075522381749721,-6.614656705478223,1.0783984462861276,-0.42341674882928665
88,1.0,1.7744221105527638,-5.0,0.0,0.17518714662632673,-0.2321929545017577,-8.275327632788995,-9.670300293470431,-1.4463257094789317,-2.6812366995259462
89,1.0000000000000004,1.7944723618090452,-5.0,0.0,0.03782996170049269,-0.0818307340957719,-4.900067223014509,-3.4465400264747523,-10.405359876879464,-1.1309655913457937
90,1.0000000000000004,1.8145226130653267,-5.0,0.0,-0.07179158792665685,-0.33933673719967805,-5.090203558905698,-11.074334036887429,-0.3771529564390498,-9.041553891635925
91,1.0,1.8345728643216082,-5.0,0.0,-0.18816300960943477,-0.39511189987034046,-4.112312842900148,-8.204981278416057,-0.6339154004596322,-11.450264842451062
92,1.0000000000000004,1.8546231155778894,-5.0,0.0,-0.2639568012024929,-0.4709297907881418,0.1791003836924038,-1.4171903885526866,-2.517819157404428,-8.480422548350658
93,1.0000000000000004,1.8746733668341709,-5.0,0.0,0.10167793442406037,-0.3128089273628869,-7.121061121444891,-4.479787001416215,-3.1972073941463237,-4.972417399527544
94,1.0,1.8947236180904523,-5.0,0.0,-0.38464755703209075,-0.11533743214367398,-1.625024061334097,20.291995558376094,6.665797324514725,-11.73057783332871
