,fid,tf,y0,y1,nuk1,nuk2,nuk3,nuk4,A1,A2,A3,A4,B1,B2,B3,B4
0,0.5980989407256952,0.01,-5.0,0.0,0.0,0.0,0.0,0.0,196.40675920803386,-21.241252319458038,-21.77783396059072,147.47807693709206,199.9999696201155,-155.02035727672776,99.086281293546,-185.88346122308585
1,0.5982218315681853,0.02,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999988597125,160.59324428399728,-129.40387591799512,137.8398695493713,28.486045661824438,-147.00812772397774,58.979472225110385,-199.9999989596268
2,0.5984276111145415,0.03,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999667324,199.9999998201392,-152.16708119377802,104.86140609365117,-40.621149848734504,-132.7727645218214,22.74140036733245,-170.40641492383517
3,0.5987188734113156,0.04,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999996436281,-6.5152292466035195,-29.733991930852564,152.81996570512882,199.99999981935952,-160.72193827431695,103.66918436815769,-199.99999994997214
4,0.5990944846618806,0.05,-5.0,0.0,0.0,0.0,0.0,0.0,199.99680663767765,199.87458715104927,-150.02339038616995,89.5163693119937,-46.16117857663419,-129.93326598047807,13.5515336607337,-162.44946118444255
5,0.5995653644058011,0.060000000000000005,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999828322,-10.663355045073553,-30.169352266593506,166.06747263162177,198.84954979237466,-161.2753028996302,107.27849286860682,-199.99999998647303
6,0.6001170392008226,0.06999999999999999,-5.0,0.0,0.0,0.0,0.0,0.0,199.87899655692013,197.91039296460258,-148.56699384455507,76.37132873246159,-55.45297602592156,-124.98489518802033,3.4141398918395947,-149.56803859785776
7,0.6007702255487699,0.08,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999944345,199.99999996600548,-149.85036950959653,79.65545091099617,-54.359009183954626,-126.27363221590511,5.721726924691497,-153.17074835561522
8,0.6015501674417163,0.09,-5.0,0.0,0.0,0.0,0.0,0.0,199.9999999986919,-8.889403384174392,-30.603200061404735,162.7407079634583,199.74628049866104,-161.58998046662649,109.6260724446178,-199.99999999900695
9,0.6024183337397055,0.09999999999999999,-5.0,0.0,0.0,0.0,0.0,0.0,199.96347419814364,-17.63280937253497,-33.22952391495663,196.06829067254353,199.99999999493167,-163.7380061762363,127.91580112871247,-199.9999999997338
10,0.6034060949318849,0.11,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999952107,-5.141852866897901,-30.0991487184192,150.306880781989,199.99979881726506,-160.39616779765106,102.91375773509424,-199.99999999980395
11,0.6045078420621249,0.12,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999989052,-13.057483911089662,-29.464475673030222,169.5251612421019,199.99962202602072,-161.61871392938562,108.89431926620776,-199.99999999591986
12,0.6056330296293142,0.13,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999976882,197.98435797785476,-150.01339031397458,99.33044614925255,-41.865078649483955,-132.08424845664098,18.85652216952852,-167.3947821394508
13,0.6071022263046495,0.14,-5.0,0.0,0.0,0.0,0.0,0.0,199.99002743986688,-4.996834966917861,-30.342480272973265,150.97740039357126,199.99999999847626,-160.68523417218066,104.47139168530961,-199.99999998713545
14,0.6086043050133347,0.15000000000000002,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999985127,-4.87845827138333,-30.00235805058675,149.4113576885578,199.99984865139646,-160.60087232742106,103.22850156208455,-199.99999999851812
15,0.6102370248623091,0.16,-5.0,0.0,0.0,0.0,0.0,0.0,199.9999716163866,-19.835704734958078,-29.26448916409082,187.59343318321692,199.8359531786587,-163.18399402311218,116.47290185200544,-199.997618923575
16,0.6120465154975734,0.17,-5.0,0.0,0.0,0.0,0.0,0.0,199.9999999996067,-9.922810508506704,-29.18538718412468,160.08420811121033,199.99148588746212,-161.1751320575241,105.27203214773786,-199.99999999712975
17,0.6138341064403098,0.18000000000000002,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999909457,139.5220631238257,-116.10514666755137,138.72905953889392,47.628148076988005,-149.3553862660122,62.133628109347256,-199.9999999963077
18,0.616123483298649,0.19,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999086829982,-8.605099814302285,-30.14204266801157,159.99509981344974,199.9999999958507,-161.1736174876235,107.17653736082838,-199.9999999990199
19,0.6184087699641819,0.2,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999999213,-13.140323261926834,-28.905797678765737,167.84313277844976,199.99806908296273,-161.717890508024,107.81185565687002,-199.9971649252339
20,0.620604997573645,0.21000000000000002,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999978502,-23.408646950927494,-3.0198394384511977,-17.07441187735669,5.49284867329499,-199.89816574820676,-199.99999999061777,1.0829915689025504
21,0.6236703309680752,0.22,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999951876,80.49068399681235,28.242546284009947,-51.65947605030664,108.1260149593852,-143.21612131570504,-199.99999999006917,37.01792938342679
22,0.6269056522919741,0.23,-5.0,0.0,0.0,0.0,0.0,0.0,199.96435842489274,92.20138263657637,24.12186563613179,93.83198567590435,81.0763620277717,-199.9999999997966,-199.99999999799235,-53.835257878693426
23,0.6299525591968875,0.24000000000000002,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999986315,28.923598324305548,34.91364735800643,117.79495776832694,101.33714124509555,-199.99953419314159,-199.99074660213302,-31.992227581171946
24,0.6332952859572498,0.25,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999983197,62.52594310274858,58.3229228543311,84.9368741172744,82.48851694146774,-199.84499034125332,-196.281049408335,-47.94051052547939
25,0.6369077756812653,0.26,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999967136,90.54220306375535,41.44843234351276,85.48081971829274,76.95326021674688,-199.99999999978368,-199.99999999889147,-55.230527221421
26,0.6402982035895192,0.27,-5.0,0.0,0.0,0.0,0.0,0.0,191.45864135826366,199.99992394443922,119.7201425927191,-5.638447629766588,19.57433401978971,-199.99999522380028,-199.99999999958786,-103.47465424880521
27,0.6441087942367253,0.28,-5.0,0.0,0.0,0.0,0.0,0.0,199.99999999970456,39.070645773131154,121.40073761221461,-31.780862869841364,74.80206655443845,-199.99999999980525,-124.07412086925169,-67.12857803361464
