,fid,tf,y0,y1,nuk1,nuk2,nuk3,nuk4,nuk5,nuk6,nuk7,nuk8,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8
0,0.6525250467679169,1.0,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.637005039802546,20.88442270406856,28.58116920119216,111.92990136323672,-53.16728763647103,98.62645501157093,95.79711640481298,71.16109764735117,188.833185514059,-134.38150612662818,138.66431417615516,-96.12130223046078,-1.2722185549744225,-96.40802238678184,-57.15933613719095,-87.60125053825409
1,0.6649414342400561,1.0344827586206897,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.885147538745457,17.43470807761908,11.27503524837876,92.89324957694575,-17.534421909421425,49.03395331557569,-112.44294522674133,34.28295771982379,124.93470615044508,-146.05645510132356,25.538788132314906,-155.86410203271237,-7.118640910612793,-5.498992205419777,-71.71954540196764,25.432594185075487
2,0.673600913832724,1.0689655172413792,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.337070288785186,9.651703014608055,-3.9980108322031795,47.9791533427495,20.460583623739335,39.96894840860537,20.863567986255248,34.989562589817986,135.41802854728263,-110.8162747402531,5.949083421245729,-13.38891106687494,-109.88039657127908,57.6645581640646,-67.55757402786237,-44.458303420227224
3,0.6484997201800526,1.103448275862069,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5147990289600785,-13.57543731121386,37.559479919656475,-33.61255526583955,17.382720975146896,-7.821464857556854,-2.339069847573851,19.604634160881734,99.67783941083286,-107.02216346928205,22.71547100101064,-9.471640462083164,-34.31503099014373,67.61848375968067,-40.20571327442512,-71.08464358041358
4,0.8049791002755016,1.1379310344827587,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.198885207748908,5.828759486483979,7.66610745157172,25.002666549128296,30.854382494952482,10.55972147898331,89.4443740276902,41.90251557667684,182.29657358017417,-110.3820480580695,92.79215812077108,-137.4217319497023,41.39920751917601,-31.14604083031736,-89.18940210790821,-30.242864044609608
5,0.6554802019983428,1.1724137931034484,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.094573709275982,-25.2821098064584,-39.11017241134978,-0.1793150120106467,-64.76395369241209,69.74147181795985,11.168245958571859,-9.351568017134557,55.829057253458316,-86.44782517470482,-7.309466195083775,-35.59873821392911,9.71419974303714,12.545734583928116,-27.92530385498677,88.00591005609598
6,0.7499336947302484,1.206896551724138,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.513170926066697,-5.683517151300797,-18.778370491595545,22.03770019501496,-79.2354043906564,0.122655957103862,-124.10110058519355,-9.434917367574759,108.14283671555951,-90.22125373457695,51.76519295962369,-65.72541711714487,79.30369303545636,-41.45192545515168,5.806987695642273,51.7313268662722
7,0.8688079015753247,1.2413793103448276,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3094734209196695,-2.474425499033062,-13.99906739769069,-27.316413038837986,-71.66880172077386,-20.498902586545917,-77.35022307820648,-36.717478050199034,145.4767376124051,-92.2273121750726,87.79075365060497,-83.7655593647649,49.670647271356884,-82.33264748138907,40.762526647062806,-105.96397377608393
8,0.8724267840615239,1.2758620689655173,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.302589720253884,17.453924949040026,-1.5168761618321698,41.41349759138907,-24.162857839597255,124.4648995718591,-49.21689762006028,116.82298053882377,110.0584998181378,-84.29427846777662,54.3696670859104,-102.07248520703,46.29073973183136,-106.13368536360399,9.741086943010197,-109.52555642938238
9,0.8034532002041805,1.3103448275862069,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1476233892686036,1.2368083347694778,-21.68742005691125,16.001720190552042,5.409203567200606,7.43131524779256,75.57362862669653,-41.905140559340225,18.65412551679669,-78.39047342960835,-29.077175944078252,-73.74917780828507,-33.04891352024188,-33.92221793288477,-61.763960370670844,21.532704548921885
10,0.9635357415400012,1.3448275862068966,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7808405135906377,-2.4200707659755167,-2.516133557856445,-3.5805718272776805,-16.667674468226885,-12.742942550815362,-21.09030348973532,-25.176788074574343,175.36415882923998,-77.73772989551885,130.90816522053498,-106.48378941349354,85.1470020812098,-118.29742424496827,39.551886614855334,-92.36463907633642
11,0.9631745151136809,1.3793103448275863,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5318602278319038,-5.530169874456348,0.19390690669114916,-11.218502460946564,-16.137175248587265,-57.30261332050618,-46.455322829019984,12.368293917036853,198.76690713303907,-71.14452298326601,156.59895044453575,-77.36763309431825,87.38132339191945,-71.71618476547337,56.56388807045641,-45.60797299240007
12,0.8699337466557924,1.4137931034482758,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0827887677837342,3.667602977403726,12.375540968781962,-26.88926660981291,27.427511027849054,5.391169157262195,55.45785084649591,9.506253472972073,30.466068739000374,-64.4138602212068,-0.046949302433601015,-58.73810054839052,-5.40064020539434,-49.28621642958332,0.24420868508817967,16.32082029153273
13,0.8451072733388796,1.4482758620689655,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.14111915908947,20.921666630673247,20.98307842798007,29.09608348072471,24.130861396604562,-13.051666627206078,16.675228000241333,28.68056721637232,-2.2743326426719337,-47.44420314518053,-8.435288632255848,-18.22678171825966,2.4808921318068555,-35.20962039542842,10.356753819148928,-53.50174029845513
14,0.9092886190408092,1.4827586206896552,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.371182704992325,36.56192920174428,34.81054555697902,39.98203361386923,17.201263292709605,-12.403767500890273,7.032839439964755,4.253552228676766,19.478560543518878,-42.18715035186013,19.611021866311283,-26.72403708573705,19.533665534260383,-32.647120239502755,-3.6130653232733683,-3.7941184076142687
15,0.9257220797722769,1.5172413793103448,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.022749768373252,23.404144045551163,40.35572885842755,19.435248909365534,33.02720248979101,4.255926152407495,6.2552949641944515,-19.887765108947836,7.4534639720654825,-45.52999933237392,-6.9394400641725635,-35.75779649617561,-0.48911437102957683,-9.633397450819816,-10.745839096312459,-30.65093184884916
16,1.0,1.5517241379310345,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1755919487891235,-2.946480787326566,-5.947084566266299,-5.889829447029303,-20.891548329150297,-11.188798966939215,-16.064630603511315,-14.690191694881445,148.71154154773922,-55.4449211305917,116.11114492605209,-72.89278135190895,81.64887016444462,-67.76339832178598,54.58304572895037,-38.55496433462508
17,1.0000000000000004,1.5862068965517242,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6088806359551188,1.5388967602099892,1.8227194480848454,7.462925621101089,-7.129346609843237,47.40284824978089,-19.49562832238008,11.494933163241766,139.56390106278153,-52.70179596189269,108.45231625813354,-64.90629346795603,75.36771959500376,-66.67142181497564,40.29564554895305,-72.88356040833727
