,tf,fid,nu1,nu2,A1,A2,B1,B2
0,0.1,0.7627427761562366,0.7634666835550927,0.3206491899281332,52.295004652573205,-425.7431395155684,1.3998021187605576,-0.4238541981199976
1,0.1393939393939394,0.7642365543362974,0.08943775724186698,0.9156491717771535,34251.496138837574,845.8866243602196,-11948.704980458222,954.748552162788
2,0.17878787878787875,0.7637747000843936,0.480009784738117,0.2513440343574971,-1027.3438874568074,14.905432229976025,-2110.258346008454,19.63551432563829
3,0.21818181818181814,0.7654749928561615,0.056690069859512526,0.974371463475466,17632.246298951326,452.9242119398359,-3951.915963901207,-457.82482192176764
4,0.2575757575757576,0.7678156032496967,0.9001805002941864,0.5803767453663868,-1912.5844710678648,-1499.698307235255,1839.120696719185,-1363.6160692457581
5,0.29696969696969705,0.7702012572878281,0.6225014051048714,0.8246230867614385,-1251.1440062789916,-390.8501943852997,-1253.6705003464979,591.8839701576597
6,0.3363636363636363,0.7739727250825003,0.1848181110585414,0.6740421643381493,3807.5495466634993,-754.675819112892,-3295.537263283004,-315.9839608495945
7,0.3757575757575757,0.7768309825126628,0.03627352193220357,0.8088283665958809,17939.22743767868,-404.70765296729866,-2467.929810043327,314.8456061661529
8,0.4151515151515152,0.7768257190712834,0.7141717518082046,0.06064481976028557,-371.9957604061196,-126.46773272733391,-794.3690567431993,-384.843806486254
9,0.4545454545454545,0.7835672490193744,0.458163935615805,0.8802470300727145,-138.0759990533902,-170.83432546618167,-1081.1550246269014,329.88498332476456
10,0.4939393939393939,0.791362216300211,0.2842432630106415,0.6488363300965697,984.045114228418,-354.3281048729683,-1845.9354922832786,-440.5572532321883
11,0.5333333333333333,0.7916758376415166,0.8053379341213632,0.9174209744966731,-573.0182302590588,-124.9114744007688,-120.43578140699181,308.7938184798382
12,0.5727272727272726,0.7957271164901305,0.3728296880128231,0.9754183622461386,145.51519924952254,68.55418365471931,-750.3471590359482,190.0288901636481
13,0.6121212121212121,0.8025982353242996,0.7275909987480245,0.8755904730293391,-439.42475000428834,-177.0599481612137,-226.46163769310647,203.88310184989467
14,0.6515151515151515,0.7962351622949175,0.0796574299749353,0.14302585117269562,880.513803430578,-2.4837834617852406,-89.67220234073156,-414.135015817674
15,0.6909090909090908,0.8180094020461205,0.5904218250821885,0.7450286509087927,-325.97225951729195,-272.51860448458507,-442.9720369067739,-54.324925149026605
16,0.7303030303030302,0.8333514963203901,0.3854064228380727,0.3928729204740525,121.5678538294313,1201.09191696767,-2271.639250582405,-46.93209522765161
17,0.7696969696969697,0.8391776516056858,0.26253988066742273,0.5186535769852101,774.8337474264923,197.9235776813784,-1244.7019109786193,-386.7047880730968
18,0.8090909090909091,0.784798372073155,0.04825252389784185,0.9258250955054814,117.3460501396104,-68.70884903168906,19.28820728062153,-114.53813226333106
19,0.8484848484848484,0.8564697943250205,0.09907971117058599,0.5066951352264786,2903.1006354143524,190.93014704341613,-1170.7608769810256,-304.7688284301448
20,0.8878787878787878,0.8508756164176364,0.3765293025699703,0.8488030415185921,65.5855293697501,-85.75435522643588,-377.0558301311036,81.82112545504003
21,0.9272727272727272,0.8785975396933479,0.4323666488248796,0.2967496173464804,-550.733980289938,1967.9238772588253,-3552.422852825558,1835.8087214404613
22,0.9666666666666666,0.8611366885527434,0.9293584080157916,0.900738606298165,-187.7177186900932,-74.81858937341562,49.162253263360654,104.92927792702551
23,1.0060606060606059,0.8933615817600851,0.9090211115325036,0.2626286029807716,454.99712507417496,-387.8918654324504,-262.7913420940587,-738.5034543869859
24,1.0454545454545454,0.8999489916583179,0.2843194029502304,0.5736029892025154,298.1848487918095,2.59868254220837,-574.4854651824107,-194.1043597407917
25,1.0848484848484847,0.9175055250497959,0.4365120546084244,0.3232076070749246,-324.10619992893743,1175.7602253139066,-1921.5243792962729,694.9388854336572
26,1.1242424242424245,0.905813510594198,0.8320109249470511,0.7355900859000982,-215.51627617462182,-136.47018272504468,-3.3252604784946005,-54.33946793095793
27,1.1636363636363636,0.8740334981213527,0.10588910411444474,0.08074453468405884,466.54042713165137,10.086109727278927,-198.7727394202106,-12.026531928974357
28,1.2030303030303031,0.9498307849572772,0.3000993316023847,0.2466741907247316,1175.536048105346,850.7291728858162,-3067.5575245296336,1865.043135969468
29,1.2424242424242424,0.9550826705367832,0.34520692951765786,0.39712643400916425,175.8205845256519,401.79146975671534,-836.5108666160496,-35.07119261437807
30,1.2818181818181815,0.9657320634379807,0.2600338898876462,0.3528081778157757,632.1510759665083,470.1699632125557,-1059.63814457277,129.73980917989857
31,1.3212121212121213,0.9634302330626593,0.9708369612986218,0.4357450612963811,738.2728096492492,-1012.5666084138994,-631.8486478141714,293.7232557028226
32,1.3606060606060606,0.9785191300120983,0.9364321950616182,0.026909448309628048,136.6836798032841,2653.758472238595,-115.77993887152313,-567.7609450743407
33,1.4,0.9675414457635031,0.5079756419423451,0.7814455857942219,-49.5433725642785,-61.63599687764726,-137.3350123491272,11.00145896632772
34,1.4393939393939394,0.9880460370373632,0.9434000532528791,0.3329909824063068,262.2228186270088,-380.50848265661904,-202.1692586950659,-218.3426671766129
35,1.4787878787878788,0.996885568624239,0.11391105597928285,0.3542567662420678,1666.6538800804458,313.14550069985887,-813.1688605282044,76.43650874779213
36,1.518181818181818,0.9826604532442126,0.6411374420430601,0.8463593147787734,-73.39902284301692,-37.78790922073826,-65.80971678033187,32.32961070786165
37,1.5575757575757576,0.999381408094599,0.557790985379308,0.3168293091789026,-1131.3263955392115,1325.8152502711391,-1306.7667692487848,779.8052426657824
