,tf,fid,nu1,nu2,A1,A2,B1,B2
0,0.01,0.8085125653538402,0.13173540189693,0.42096611187787447,2.0717946834297516,0.8657820509090761,0.5861663355645139,-2.505162178391238
1,0.02,0.8085207742484977,0.759677281186887,0.1266149694751223,-0.2293160797450104,-1.55136614316568,-2.3215661421180407,0.5178202342090281
2,0.03,0.8085290378635519,0.22147289748661114,0.8658851362736149,-0.8804862743222086,0.5261096112976911,-1.2887155148939566,1.6805190023298078
3,0.04,0.8085438592477551,0.8162087043266272,0.08606376303084651,-1.5496088070650038,-1.1126058303091966,-0.09866426963095437,-0.060325754089364914
4,0.05,0.8398879531006181,0.7698583673172829,0.8891314325265168,-11980397.315822046,831530.6634760309,-402769.4462161728,-14260120.529575279
5,0.060000000000000005,0.8667200470501635,0.3893971908109437,0.7960336371709795,2365707.6634378573,-5321138.188071047,-22753991.3201308,-295466.46154597803
6,0.06999999999999999,0.808620409164094,0.2189930608162498,0.24027338635223638,94.33756677138847,3404.639991540879,140.3349949277125,-208.88665239392307
7,0.08,0.8672532940023079,0.9814714734590712,0.4964603863222259,-1629384.0584421505,-1400578.910485194,987753.8407864489,2001052.082861362
8,0.09,0.8306361760418348,0.44920714284343644,0.9372512289897377,-465245.7104251151,2006343.5503226612,-38952.284618772355,-3489611.0621928247
9,0.09999999999999999,0.8701567228158306,0.40093181438753767,0.6956151362055468,-377259.5262737542,36604.09683145998,-725128.4713759064,2077657.852528762
10,0.11,0.8919288222181471,0.7096918463720445,0.35667711535004143,-1590180.5689495355,10407.742416420999,70206.74735746332,-679496.3633702951
11,0.12,0.87531758570833,0.1631869132058561,0.7081977097002494,213316.91573545712,189366.64538805909,-425113.0287837664,1294571.6200337978
12,0.13,0.9061535710522414,0.24272303953198315,0.2950480102976427,370088.82506327203,-552081.2519033283,-477607.15755278803,-587097.6449319745
13,0.14,0.9103434599772434,0.7259158880146669,0.11391228770713946,-526368.5781569385,105807.84767461431,-365274.35291233193,-343332.001500116
14,0.15000000000000002,0.830746059139095,0.8577472830773121,0.5732402578955443,11902.419004670395,-1483864.0858244356,947655.9601649607,-635876.3047754925
15,0.16,0.9071133460759703,0.5136908995920977,0.7210568420082697,-192160.48009814913,78037.13874754164,-266863.81037913833,297635.8056151676
16,0.17,0.920052186854195,0.9710256423686803,0.20509792012313643,-259222.8789772123,-48358.63058204675,131498.32068976134,-140425.75208585287
17,0.18000000000000002,0.9329379286448343,0.3971766100416054,0.5605338335191494,51722.35647986471,102310.61419878199,-600620.4140903858,-16952.002888925403
18,0.19,0.90357763292463,0.6737970787620504,0.7720453850718385,-106325.83105923867,233235.36745351786,-17963.764787586348,13615.689373451176
19,0.2,0.9376630278465656,0.4489057403449299,0.3136914351018555,-14047.059964767639,-194171.14801133194,5597.591518658887,-174687.32076100662
20,0.21000000000000002,0.9382203928439328,0.80698054702134,0.02418740127409935,-188596.61323961135,91596.01799327345,-10.785206872327368,-26593.270741949087
21,0.22,0.8597843718552832,0.33735744739083573,0.7574454091463096,-26888.911688859123,242728.20771558472,47512.353205089734,-75616.78132037756
22,0.23,0.928415459450954,0.547756383346249,0.681626026190754,-41988.004550220205,77787.1018347033,-38811.7067314594,84691.36349173725
23,0.24000000000000002,0.9539557852334809,0.5701201368944885,0.019357689880025286,-48752.633689227594,110288.44895963518,-133424.59268942164,-53488.40723322574
24,0.25,0.9446739988099336,0.8797043233451115,0.48592196554118194,-26559.157426162554,-43003.77164398969,-17381.71209145987,90151.29295552778
25,0.26,0.9591483912014463,0.9242855445085923,0.2592457650022839,-5873.717235310704,-55912.50984131955,-1309.5890487627678,-101308.33682088242
26,0.27,0.912547862581239,0.9099967018298609,0.6337837047454639,-2559.985072122666,104810.17254859403,-18624.586989648422,68741.23346568504
27,0.28,0.9647274910470004,0.9521741141497728,0.25431323837576203,-20225.34892296962,-57308.511749065015,-28979.290417746113,-71986.29718896362
28,0.29000000000000004,0.9593279215367985,0.48241973138094263,0.44070678083756676,6236.6468037829545,-28423.70266652118,-40374.046873047446,46249.84487131142
29,0.3,0.9622778195202601,0.5147482972198756,0.7656610269952822,-32798.15119734136,3673.218445563074,-54243.96158898517,25690.936917344545
30,0.31,0.847629284247981,0.1866115801593614,0.9480668212031826,-15367.169348271127,-69746.311864928,418.78816354676326,-71300.6877665375
31,0.32,0.9753908570280145,0.29186383345146405,0.16119223472556377,6912.582664266603,32603.60024360516,-95398.31885818098,5371.19854740506
32,0.33,0.9515269430636797,0.6445751810925986,0.7744451713173557,-23355.970130300982,25291.44817772734,-4594.64831238773,28499.630497358597
33,0.34,0.9791141782686886,0.4446645662397699,0.10331696182461692,38865.60395566906,2000.7436388569397,-34732.33326159351,-60494.195935422176
34,0.35000000000000003,0.8831524693049608,0.07262994366211528,0.8897834967638071,35627.67303264105,-24327.784468963135,-15595.581598815099,-61761.09717776861
35,0.36000000000000004,0.9826918284370121,0.1803697637455175,0.14095454140429498,55505.907921143466,134178.715166529,-302849.75448887073,179934.6449010817
36,0.37,0.959968154614135,0.9286564478882874,0.8937626806297996,-30198.20424757398,2023.674276789856,16971.029351790094,36345.7956479526
37,0.38,0.9668623517538838,0.8906046916616974,0.5338606727591082,-56418.85740485942,58166.91792072439,-19010.90894642339,9474.817739888937
38,0.39,0.965322067434909,0.8904720713729055,0.8307065806883294,-14656.143241733043,7390.935227172998,10532.951050528933,-10132.121652988419
39,0.4,0.9658090104594425,0.8938321616923831,0.845968579319494,-11942.348252295542,11565.611633650828,10743.522983297771,-4097.7267570739405
40,0.41000000000000003,0.977443111773648,0.4982795662332986,0.9962304000471766,-8229.166220240833,-23334.36281910246,-21325.791548962872,22258.446382980568
41,0.42000000000000004,0.95383910679108,0.37090772227858415,0.5454808212924981,5967.190523096606,11387.29769336205,545.1407693609494,26436.432546766053
42,0.43,0.9783451530831898,0.1936245717458268,0.7508463463299309,40540.487323874804,2045.942031234551,-35677.83822299015,-18398.671718756457
43,0.44,0.9881600220519948,0.5117032757790492,0.06877964727898478,-16391.655122332646,18719.84329120731,-8824.235782353915,-1251.092275009843
44,0.45,0.9888150199515473,0.5868618035811773,0.17433031168255608,-15097.253620556678,4227.114738817879,-7928.5592105248315,57.34534725551927
45,0.46,0.9178177317710459,0.9305483863727352,0.9686945565713372,-622.7245362292526,-210.99072172623033,6922.0000705374605,-18606.185123943207
46,0.47000000000000003,0.9913298633406787,0.030762082990412276,0.08425730245039287,-32453.241342453708,659.1147485058125,64434.58467335514,-78719.37378373196
47,0.48000000000000004,0.9871940201104424,0.8985501006020727,0.46607881286500275,343.9472060677301,-9167.057808707308,1081.509633412286,6454.775109526074
48,0.49,0.8897992867167125,0.3295161012798249,0.39960287550729945,26675.358426989234,-5893.311607084483,-2273.115409138874,40623.78177461682
49,0.5,0.9797853744521946,0.033649405653178976,0.6687648243706957,5168.21098139672,5925.6639838225665,-2392.7415644441353,9448.701822306259
50,0.51,0.9849033049604492,0.04972487120505065,0.5375172937393095,5001.040911011889,-748.7701293021131,-623.9421801728852,9998.51522508408
51,0.52,0.9931473174649149,0.39610237781557545,0.022072836750324787,-14256.874891956511,100205.06828946347,-1473.5074424578972,-4962.282884240755
52,0.53,0.9934879620735861,0.6505709174440638,0.32259225579371686,2480.219029826919,-9621.60557005498,2700.9444833470593,-6935.565665769271
53,0.54,0.9927638707160259,0.4531829569107122,0.3984267744990456,-340.9237422485487,-8151.786655250385,1430.9116804157397,50.528085289019536
54,0.55,0.9945071425586361,0.019993190751713796,0.2935024595255208,7056.639588853579,-5459.699679988182,-344.0385600245295,-4877.039378704516
55,0.56,0.9942619493238122,0.6033540773829376,0.47979409764392855,-4249.683810313612,-2828.60124656608,-1727.3592428031138,-80.88481388162701
56,0.5700000000000001,0.9862175924765155,0.17420230857928487,0.6538372066759838,-2131.114896944742,1463.651756315477,-245.70129738644314,7323.491399123039
57,0.5800000000000001,0.9844971383710709,0.9679105638246921,0.7153801224078199,-1524.7450819516514,4057.0278217606474,3242.5152087180827,683.6629065593625
58,0.59,0.9947968900915657,0.9340041218240985,0.27222098213926293,-3171.036747363854,-1926.3249015167394,1066.1850615535138,-1182.1711002341754
59,0.6,0.9927895804391098,0.23216082659574,0.4629921652062441,1018.2571194068618,-3003.6171668302486,-81.69362201625687,4491.940518325015
60,0.61,0.9947090330132629,0.030629140250482134,0.48185759611419865,-880.322674542316,-4869.841174146185,-1750.3547281504152,12.141754172334394
61,0.62,0.9967519897697907,0.0694940119268127,0.1864087335870016,-5050.583923091061,1975.1206327013415,82.58141725611844,-7175.122380215431
62,0.63,0.9912551395668465,0.1618611136420599,0.9193585490724945,18130.009594137573,-4702.833502657312,-12508.031038640162,7530.476528146857
63,0.64,0.9956926367844101,0.9876930267897877,0.28269800672309764,653.4210228991848,-1574.8489131688277,1940.2491962727513,-3249.9733830426794
64,0.65,0.9675767559803551,0.07494596896233674,0.9352783347339069,12579.726341762704,5248.113402666662,-4553.067147354708,-2234.731253087989
65,0.66,0.9906000704109701,0.9269529441047685,0.757309037431987,-2027.165532125638,1652.44407770012,1783.776721423411,-1636.5227245992073
66,0.67,0.9975162060887247,0.1599090850990219,0.11080330886117629,-1159.7287381900871,6338.05194080389,-1815.328701182912,-4324.670870714326
67,0.68,0.9972591190409458,0.595450625409696,0.28762694536281674,-7.44304151839887,-2394.742383949573,-2159.2221985289098,-224.18351916689343
68,0.6900000000000001,0.99713435988005,0.19684898990868493,0.3236564853426491,2708.5778336512526,-2451.210565592358,-1368.2464027775272,101.15470465113091
