,tf,fid,nu1,nu2,nu3,A1,A2,A3,B1,B2,B3
0,0.01,0.808512565328406,0.7848504865277579,0.8570478012387558,0.35723036557583643,1.3719640878457482,-1.2123661513727484,-0.8350118017932653,-1.2918562339013124,0.199488470361167,-0.973382810802984
1,0.02,0.8085207741149142,0.5604696688647526,0.546136868948106,0.41158620071163143,1.0764493499782448,1.307217813680116,0.8040910100372926,0.4614281888903562,-0.3836968874772392,0.8129243486300491
2,0.03,0.8085290384821677,0.01572426925088166,0.770244362418926,0.21655115758064636,0.2529061331538887,1.111814297387036,-2.2864840464637544,0.07320800944943079,0.4761784649343435,1.0924711023518792
3,0.04,0.8085438614412773,0.5270124297862101,0.722771347386518,0.48582478943684904,0.03793863376913034,1.5307434426606272,-1.4323092819690064,-1.125156939789059,1.361454674189557,0.7974552816017841
4,0.05,0.854073058559288,0.36337454816868586,0.1783256236806433,0.6483543164160054,-2144863.852039754,8750710.934416354,68644.42877728774,-11401463.65710425,-21134991.64206037,172265.49149653077
5,0.060000000000000005,0.8398515140698456,0.31167933327114805,0.8782346432098216,0.13483777414416986,780450.4161907592,4480590.128263738,1973795.7568214517,-6276352.364822051,10491645.47801201,-6171182.722617881
6,0.06999999999999999,0.8648663159613569,0.9975332120755771,0.11801364343696397,0.2204504562685342,-1419993.9117472186,-3222932.9848408396,-1367314.0831702203,3103539.9543889225,-131667.9755647704,-5974122.74070764
7,0.08,0.8549341011937504,0.8010997198888534,0.6836684804436765,0.4456991087391706,62213.08041454227,1418942.2237781696,671054.1707404284,682277.5919481437,-1549800.7837237576,5475194.06794649
8,0.09,0.8773155895881157,0.7024502473728804,0.14941463404473176,0.18371833030964746,-3640247.7368306806,918073.4743782617,-56908.75341425266,41365.8135554948,571853.7114081236,-74591.90269497532
9,0.09999999999999999,0.8626202484764325,0.15643844461413658,0.3584818481143317,0.791651631253463,146685.01995015156,-1580915.05952176,4941892.535803018,314533.1973530821,-245291.6389691279,417027.6873311717
