,tf,fid,nu1,nu2,A1,A2,B1,B2
0,0.01,0.8085200235595889,0.7324144149259477,0.9807014397878626,-3214869.7838433823,-2.339800417618655,0.33219881013002667,-0.7156740562015871
1,0.02,0.826620158390994,0.8338289958623539,0.1147490754304441,-334008591.6583115,-17400764.339651756,7.097248869686675,-4860303.674450727
2,0.03,0.8349912615887998,0.7967541413181737,0.11863674549156855,-94647068.13956626,5431918.055958177,-2127.8786398817847,-1233519.3840985678
3,0.04,0.8389251966164112,0.22042024638224034,0.5434398720217215,8461934.477009663,-9166516.48592641,-6971061.386494939,33902027.77214339
4,0.05,0.850465108118678,0.16577516234154976,0.4230229710235516,-454461.355102611,-18762992.464716855,-1558852.2114008386,185307.9791265399
5,0.060000000000000005,0.8576173802817251,0.6733043317191654,0.4116744939677063,-431040.6931347166,-10720459.163072336,433730.9383293324,6918.716828756053
6,0.06999999999999999,0.8644886376088766,0.1820492798279565,0.38516875511052007,-268241.257855564,-7247421.229500687,971772.8871756966,-123452.75894647944
7,0.08,0.8889073354762979,0.5011462598657311,0.7272846143672014,-3464198.9281919785,-4692195.168223711,-12299899.079471638,-5945123.087262557
8,0.09,0.8838462331681315,0.22837452033132943,0.14343526266829187,4345964.964979479,-13165.45453825392,-3900370.558217566,-1887862.5543667595
9,0.09999999999999999,0.884977749865474,0.3020981904748963,0.45375580704130647,-36776.97600121306,-1714956.6815640626,-991090.0381561328,-55218.828623556925
10,0.11,0.8088201939002982,0.27906581105190553,0.1146709317450555,1698.5085184905695,144.39887614129958,-2.066150379531537,-0.05347541099936577
11,0.12,0.8961139809107019,0.782440785258262,0.23510352750144503,-1197823.622643055,40735.10380452826,-1883.6186377069591,-66312.63902609592
12,0.13,0.8935318777876358,0.554006152542695,0.5046421770734684,49799.46990495514,-671255.4032222074,130700.48397946173,767628.0932140021
13,0.14,0.9067111939341028,0.918371801685084,0.30388021038622604,-526877.8245316449,-308614.13931410253,4197.0153205843235,-58522.205618711225
14,0.15000000000000002,0.8091219704458866,0.07970224034787732,0.037809085033821854,2935.4455697439585,-10.907083842503658,-0.5206556762834504,1.6104577894868957
15,0.16,0.8627649805055443,0.1975924495115533,0.8692375034607246,-17179.40645256676,588557.9058523815,-86445.69285809329,-253760.4227224698
16,0.17,0.9067796803348606,0.5020800022643922,0.5847720457030849,-25063.28636311307,-7873.2963122139045,-8101.1015011710215,387322.8854123441
