,tf,fid,nu1,nu2,nu3,nu4,nu5,nu6,nu7,nu8,nu9,nu10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10
82,0.8300000000000001,0.998447612606378,0.040718725192628404,-0.008613496507654776,0.02175462478873273,-0.007816194951696269,0.0050981702529494435,-0.038950143592995076,-0.007982171737304306,0.026275455596417075,0.006871563055765072,0.023834803133274886,6203.441697755075,-1803.8713043982386,-4.467741523530599,-6.477258355834412,-1.9064351508249173,120.25088037319992,-397.1402873467738,-95.82734822716553,304.5745148566773,-123.98148982406062,-300.410257616725,6.1015693567681195,-22.903188795851886,14.472759485999692,0.721974423691412,-674.7798060036391,397.15236936670624,-432.53128287015403,294.4374685270504,-1350.7156224467915
83,0.8400000000000001,0.9984865179999061,-0.026767192240433176,-0.01367309502440901,0.006144572410814237,-0.004975008655294747,0.007735402474592784,0.006648817891124729,-0.015470787283831777,0.03360279579495264,0.017011359449616837,0.02144545041875309,-9695.682756842685,-971.0529311153651,7.808577646718086,-8.039891960966754,-12.143739743589089,0.4672707115109493,46.57406769105623,-147.6826775873428,179.42492737638094,-61.71290675852457,-360.5347727373603,-2.581213917426496,0.44237025178371897,0.031598284192526235,-1.9669224370436742,0.30010667365775495,-82.0106421912762,-1360.146277660373,693.716073298828,-905.5051737952497
84,0.85,0.9984973806684543,-0.03336445435215692,-0.010419092526670297,0.015338932255086746,-0.009569407389450599,-0.017008315934012305,0.008465614432120076,0.023357368435715616,0.04035646740792043,0.019685917728978364,0.00292803679103824,-1852.2800872011182,-14.768064992059202,-9.140541579148294,11.245524933933451,17.233546033639534,24.491246769316508,-55.338920028182876,-124.20302588170095,165.3922735916111,347.16794131404305,-290.94584242500946,1.3005918672890953,-13.858558587747876,3.376765475664284,-26.03446542259623,18.69925491839542,-147.43435345683113,-2181.55708915996,782.0590924786425,135.66687781018172
85,0.86,0.9985235018164036,0.036180743856266094,-0.01003107750626716,-0.02574564785352495,-0.012375248402095152,0.033690120326672145,0.013616277744693173,0.025894153960435057,-0.0060651660164773545,0.03650711019509734,0.0023236426611123054,714.7688768697363,-6.313454966785821,11.074657583856059,-11.614428685332967,-31.1849093566488,51.90379667192036,-33.01406745665727,-122.48502574969751,-100.11463136992569,1012.9826462670203,-188.5095335937728,0.6318448887617516,-12.178846987760052,5.756614468934086,-101.40779979872472,73.25179562237948,-114.04456452381727,96.34071186399339,-1839.5885151702862,501.837311819442
86,0.87,0.9985719166761493,0.02550139772352044,-0.03792890729630786,-0.0019738532992747424,0.039226830087578476,-0.03743880102231547,0.03961830718927523,0.03763295130477379,0.005330518232352114,0.011253156030152691,0.022640264858599546,9338.145225039038,-178.72173072122115,-252.67340572035323,-71.93222897415349,29.83755068182839,-51.088437171982314,-31.07674493443469,745.498985463755,-9.668693512519507,-112.13450120592965,-326.87685385902404,-31.35403795276672,30.749416981420953,-197.4485961611938,-115.28166864305533,-373.25501236638945,-346.4557841771134,634.9901925575356,-57.36226053587705,-953.7665746263864
87,0.88,0.9985837828765396,-0.04114452588747303,0.02117094956025454,-0.02720489900298188,-0.00779563352699722,-0.01836154739133768,0.001273794100025249,0.020181507077221265,-0.0009746748103425018,-0.043355531581756986,0.040970621456654664,-49.1535276182781,0.5909067457682544,0.6480784205862915,-0.744089314249615,0.3855792967185232,10.357878594328172,-1.051201414803334,-18.186301002468316,8.075501245318536,0.05544097520084179,-2.713023168890218,0.4118769396200062,-1.5801266324634409,1.7328481989813669,-0.026793002813068695,1.8746665758197172,-3.678470032138584,2.8871926989107304,-1583.2849339526406,65.10377521366152
88,0.89,0.998636227862337,-0.023450308231725732,-0.020935098260508447,0.04203822153265285,-0.01648008968125552,-0.024920364908045837,0.015631897270483787,-0.009691019276695512,0.028996625803880783,0.016233938592314694,-0.010703226467050863,-13635.574662250066,-70.42849248533452,-102.27853618670423,-145.845444754053,74.0553720920756,58.35536405333321,-91.69480451359162,-229.1040283867249,210.16099540289974,-80.11330703523457,-739.045434020768,-16.32565978304267,-188.3822250889351,141.4544176565691,-148.11280768646793,88.0479176844018,50.26155173978428,-1243.1937339892468,652.6340520991475,-341.38047760068156
89,0.9,0.9986312626306396,-0.02585994385506039,-0.007005967146224684,0.02268556038555816,-2.0815950631272173e-05,-0.009129243821863003,-0.0008093804194551912,0.023644632226783976,0.01706726781812271,-0.037369088731427455,-0.01381209778775748,-968.370716579077,-7.239482547667496,-7.075702237099441,-8.886992584892095,-7.3285035249417625,-50.28741460227276,-24.290446897310026,7.8445446773130225,67.57185764320614,-116.92714095171155,-120.13407718143378,-0.758768824806997,-8.237718219860593,10.684221620993311,-4.515732702540781,4.201173463435816,-73.10987123694193,21.899382845407718,-1629.8287121033181,461.61260636569267
90,0.91,0.9986545644728619,0.009238713889866721,0.011255036015117598,-0.02403043007215646,-0.030141962799453803,-0.005853420721141409,-0.021766504306116922,-0.03304114202760273,-0.043508177114744036,-0.017546870865118896,-0.03134113054703309,3771.6347224930996,-5.404936437853473,3.8358842915370426,4.442368676319561,-29.123278871604718,8.161653948803648,14.365296425052593,21.349758995262057,-47.41769080047999,21.93329056994818,-32.40121736756741,1.3303759011636858,-2.990718789054011,-9.472516390257935,12.60071941989455,-18.014492968345383,-75.42551137676661,-1071.3365855044306,330.07155220466404,-430.0536921799467
91,0.92,0.998693946784337,-0.0024424277117174823,0.03193414462494899,0.025172608800043423,0.026806714795762698,-0.01327331832430143,0.02135763437479488,-0.008483601693551893,0.02672949078672022,0.03002063713617471,0.026373664666858955,-108527.60721738717,-56.073223019118785,-11.161640419095658,-27.215800652084358,-50.73141434372112,-46.023652492019636,-103.2095316311129,-115.43618308948446,-70.26943622807963,9.247986719855232,-308.5432073348761,-28.119922000353164,-10.999108045293106,-40.64917520643228,47.25735654649201,-93.84138146391723,90.93180778901808,-524.956678014136,-778.4174717262994,195.23097053677324
