,tf,fid,nu1,nu2,nu3,A1,A2,A3,B1,B2,B3
0,0.01,0.8085168271982194,0.1629764598334008,0.528844865376576,0.3080376769610522,4.66690757708783,0.9715807629466533,-1.4159776469952354,1.9355825857580182,2853120.829818789,1.5041822133258012
1,0.02,0.8225785833793525,0.9645353526540342,0.6196598685434174,0.18355622205900668,-8558147.624907885,30942888.89799544,-4490896.373999762,474285.83832496015,352943386.4425736,47195442.9855443
2,0.03,0.8242839049680833,0.15612974767978638,0.1655155800902618,0.511585595720793,-3584567.7331992676,-12405.844296408588,100419891.78707594,-6750904.717492879,-3827854.849517152,27061907.69720804
3,0.04,0.8282455056234831,0.6115027508639238,0.7555414703565229,0.19980195441644233,-1483447.3158260053,40785982.11994295,-2797962.8513072366,-677165.4688122076,1852488.0503897276,144913.85331743653
4,0.05,0.8536098105202544,0.38748038275077057,0.23104217995944465,0.22425527529681932,-607280.3190082769,-54640.83838303346,-1133513.885347272,-13096070.947931558,-15457348.268747453,907180.8230980338
5,0.060000000000000005,0.8329940550198391,0.026801807405054445,0.7650984491691414,0.7244984492805031,1074842.0162774897,8306791.79743116,4508617.170005806,-104618.3702241998,1368502.8172475768,26410035.112949595
6,0.06999999999999999,0.879262371298957,0.810519383186804,0.2669750883134615,0.40906892669366646,-27647295.00375276,1957164.2171080448,-42298.96953021658,-5544.816526080436,-21647.109226097247,-22070660.12528065
7,0.08,0.8468445996144456,0.5925737433937214,0.7742952161441585,0.9837630708515749,-384753.106822984,5749409.994237837,-5672212.074084388,600502.033893196,638922.0297109566,122503.55714082868
8,0.09,0.8818858018927673,0.5449266358491256,0.5564150193311251,0.6218586130203558,753236.7144890927,-887967.1829027814,-881081.6393905918,-14650.506785889434,5302878.69819507,4307484.859429553
9,0.09999999999999999,0.8836286885748612,0.8046117856106366,0.662545332694021,0.2198453419773786,-2115926.7859017067,115800.66084448804,-8063.059041641449,-2133.8089279355027,-1015.4907132872523,-597.4205018458719
10,0.11,0.9078334160624342,0.4375895795528425,0.5050972977055371,0.5992970530811379,-194275.38471281095,-354147.0218224734,-1785956.1847945,-2817785.200148061,238799.89041905396,891478.1294901478
11,0.12,0.8992311256946834,0.18795931939583854,0.856681133561308,0.7068911718923109,87977.42573285388,3079185.04523256,-1743314.9420864466,-452306.90470779734,1536225.082328892,3662742.516790914
12,0.13,0.914480764818343,0.2619692761534512,0.3754198275904287,0.686207268181841,-58664.631008780496,-1390761.9651908963,96845.29496727386,382417.8412893031,-151825.763394024,1069151.6262176519
13,0.14,0.92125748805679,0.4997787381146811,0.554470654145005,0.6013798263557094,63553.07356233593,-317069.9462750324,-1022950.3606127395,-218352.86106964666,1208013.1647590331,940644.4009192638
14,0.15000000000000002,0.9328922606089547,0.7923380559174353,0.6274136950435341,0.5694117008383875,-1300935.69979937,-418382.0935595246,-701530.1131773302,-66847.57560276338,-452616.1105694494,-211454.26984682467
15,0.16,0.9165208882959082,0.7397181164008941,0.3755662630887019,0.024384137540279127,-401302.3299498105,-97417.89170499661,175247.5547895482,-4767.449557819924,221.61218589293028,17144.454790281525
16,0.17,0.920467453449394,0.6713375630412053,0.3192474646252659,0.2864576113655901,-83999.16212775583,7040.719677672939,-350948.5612832044,44506.10761995284,-1410.880358531723,3916.4856454183564
17,0.18000000000000002,0.9286079496607995,0.3238042342193812,0.4902636357022617,0.9631732107711712,-48520.44133157114,-262290.29965269857,-74807.24450845148,-119628.45489883564,59754.88973412536,-222722.43041834037
18,0.19,0.9385634120078473,0.015153206182196843,0.26053960151850675,0.9339870623256458,-1803351.9387203027,-79976.38167213213,-6092.915811934707,13387.137626073334,-395914.9396625401,-155179.8602849796
19,0.2,0.9575221837876315,0.6229390202342173,0.41741668518859987,0.4396292058844389,-156419.72395825144,-572093.7013857954,-130545.04602968313,-132908.36534840247,-46660.70543314872,-615052.7918924902
20,0.21000000000000002,0.9585499265128873,0.21215717237925347,0.9129460033417985,0.06624778477766113,476531.1433721966,-160629.92136782798,33182.825783466586,-583720.671510845,119238.669298774,56518.459280095536
21,0.22,0.9467949493941663,0.6809715152164163,0.05483944696324339,0.13877119036275987,-45067.86615774148,7357.41726299667,-464.385950130823,-1563.9844739726934,-1237.8100574923185,-196139.53980069634
22,0.23,0.8978465025584975,0.16048335264131686,0.9740675604484885,0.8902088720159236,-56320.222547011625,207074.36865943967,377158.7784683026,-15423.380051378646,-297846.6751103756,-274233.28970805247
23,0.24000000000000002,0.9475087610541872,0.7825597053117724,0.23694104812309547,0.19702020716173885,-137038.93408148442,642.1261925683992,32.521605016144655,6.240558449647104,0.6821851837027186,-0.19064597219770463
24,0.25,0.9641496679446678,0.2562532969926572,0.6128645390606959,0.6331124581126197,-618.8661043331209,-13504.885280083536,-109677.44399446392,-13397.634619403862,185873.4764514911,171715.7757261851
25,0.26,0.9272293798703825,0.04083870765840225,0.9337067272114771,0.836889578925724,-103210.10887361669,233745.93352699777,311108.9589195032,-12723.639832475637,-93650.91224830635,78761.67207734787
26,0.27,0.9699499565037263,0.9326650993190861,0.14318355207224787,0.7200992240458726,-89980.70065836216,-14202.207002410269,27122.32325934545,7706.562582013257,-20297.522190119515,86558.3154047936
27,0.28,0.9698188322842421,0.404218567201292,0.4267970319834711,0.8130481839189805,1279.1507305150835,-17117.75558688013,54361.14063026214,-90790.01623534152,9429.345658791448,-11853.065721923796
28,0.29000000000000004,0.9742206918099325,0.9111808675439567,0.6235129796686538,0.598158621737682,-39437.705289839716,56977.848519381696,-94654.653047258,-8594.385305148342,100949.08434044896,111504.10673329825
29,0.3,0.9648493525622639,0.047370237483952304,0.3925289921276458,0.2058968055247803,846.465857762246,-58923.77404959815,-2343.039527311782,70.00213830100347,-81.1715665127702,-75.2908953873285
