,tf,fid,y0,t1,y1,y2
45,0.9636363636363635,0.9989601097098095,2.5469896893634605,0.7680349957286582,-4.999728470021125,-4.098859634349209
46,0.9828282828282827,0.9989606868629793,4.999427895082794,0.3337519783282701,-0.45402980678791927,-0.9345464563909303
47,1.002020202020202,0.9989918246806656,2.338055836038006,0.8151390800935082,-4.998879456981514,-4.035770226944042
48,1.0212121212121212,0.9990036258386664,2.2641813679419345,0.8334534900241736,-4.995851095851242,-3.7625451524046962
49,1.0404040404040404,0.9990172252655617,2.160528001259622,0.8635780537100941,-4.99883999853587,-4.098540460979372
50,1.0595959595959596,0.9990055687644874,4.948036498033563,0.2947333050486926,0.13175698196320704,-0.70354419785428
51,1.0787878787878789,0.9989437470832521,4.0311376763650495,0.4630740158378381,-2.318061278183136,0.4465795744823145
52,1.097979797979798,0.9990507145572877,1.9238823404928016,0.9412371880747404,-4.9874400260872624,-4.582822805746121
53,1.1171717171717173,0.9990614975932278,1.8585291831657678,0.9654188254196138,-4.999331984139332,-4.663709344282244
54,1.1363636363636365,0.999008081934168,4.084216128107238,0.38007926720723867,-0.6054473506910433,-0.11603003396751241
55,1.1555555555555557,0.9989886013894304,4.204732962966173,0.3962400361630027,-1.1987834161731814,0.3036369009009302
56,1.1747474747474747,0.9990342498996818,4.269854949011809,0.32916360413636253,-0.09371425804862987,-0.170879521057954
57,1.1939393939393939,0.9990463982245358,4.7947842423083795,0.274109559043625,0.14388172678295294,-0.15291890846593684
58,1.213131313131313,0.99910404286726,1.5993531341636338,1.0780123610389591,-4.996637295950684,-4.621607719217623
59,1.2323232323232323,0.9990278583651943,3.1395932583171895,0.5017203413079875,-1.004857504808957,0.28018408719432863
60,1.2515151515151515,0.9990946048233802,4.985405968907643,0.1913750591889529,1.0116086075715964,-0.3666521234899195
61,1.2707070707070707,0.9990199359747872,3.141524774198219,0.521251621304133,-1.4107988003494036,0.6696447501247497
62,1.2898989898989899,0.9991071665074824,1.6022493987000503,1.040102136348011,-3.4813011847800164,-0.7110984010987054
63,1.309090909090909,0.981767422309002,1.0392259259107182,1.2362115112143908,-4.999998946587756,-4.999990691250856
64,1.3282828282828283,0.9991439883410423,1.3774001892795773,1.2133472014730196,-4.999883448231819,-4.874096921076784
65,1.3474747474747475,0.9991494892200581,1.3473343320766185,1.2345170329698345,-4.999618297808873,-4.80695089383684
66,1.3666666666666667,0.9990677241024405,2.8070003909652423,0.5112053203849642,-0.5791335054011084,0.44486021920007196
67,1.385858585858586,0.9991617302068703,1.290575383350887,1.279754036167953,-4.994886568718504,-4.992067569925993
68,1.405050505050505,0.999167134388574,1.2651323483761883,1.3006834739363005,-4.9988069436818,-4.909438031588148
69,1.4242424242424243,0.999159924959975,1.2943149974214678,1.261841862361587,-4.998882467920059,-0.8469516870416252
70,1.4434343434343435,0.9991042267724722,2.7804961349963984,0.4476022054168496,-0.010877613794691869,0.33614004957938554
71,1.4626262626262627,0.9991765420351113,1.2169106898997393,1.276551475742968,0.48644773908355804,-4.738464981048498
72,1.481818181818182,0.9991878411528403,1.1738650188107997,1.3871376566559628,-4.999152254589454,-4.953521479236655
73,1.501010101010101,0.9991035859162862,1.7363829143750604,0.8664836366469997,-1.256670182069071,0.7995129965061369
74,1.52020202020202,0.9991970327633789,1.1343851457053646,1.4297973073825403,-4.998747610521484,-4.947933054772101
75,1.5393939393939393,0.9991318080307904,1.4406077708155929,1.1185803022953908,-2.999897116027074,1.662888602472269
76,1.5585858585858585,0.999128168482674,2.0359191281143465,0.613469938474282,-0.04605520628288842,0.42779106444839693
77,1.5777777777777777,0.9992089695588188,1.0923940796720755,1.4742199825909417,-4.9939415536782255,-2.856749527470666
78,1.596969696969697,0.9992030905925888,4.999994809179498,0.06500634635639384,1.4322454009173857,-0.0074334568204482325
79,1.6161616161616161,0.9992111441151542,4.999530751546239,0.11357459331661532,1.0168158835250802,0.19967922630589752
80,1.6353535353535353,0.9992079916465397,4.999508432674011,0.041343562035990176,1.5368863987916572,-0.019067797827249877
81,1.6545454545454545,0.9991619857494043,1.5208419993063276,0.8104310113022809,0.12875531243397056,0.3038223966275713
82,1.6737373737373737,0.999161803140427,1.2689629218930043,1.223631673807269,-2.1632932338987687,1.4288862663180866
83,1.692929292929293,0.9991725155290677,1.417320442030183,0.8805172105166392,0.11087639013373357,0.3223413576316034
84,1.7121212121212122,0.9992416342077665,4.999658669797024,0.09482415039443391,1.0314245960783825,0.27226559756945595
85,1.7313131313131314,0.9992552427347682,0.9749027871829723,1.6621953913758325,-4.996610156983033,-4.965068959023599
86,1.7505050505050506,0.9992596130320394,0.9635757892917178,1.683353700882162,-4.999968784113632,-4.999583326996919
87,1.7696969696969698,0.9992658113068706,0.9535055608880284,1.704201934887044,-4.992779027381997,-4.998672465513655
88,1.7888888888888888,0.9992654389886386,0.949649196245671,1.707057519735992,-4.99919124852788,-2.528702001135353
89,1.808080808080808,0.9991965748020918,1.4144907807186178,0.8290805201400073,0.19407086110905397,0.5194637404349537
90,1.8272727272727272,0.9992189632498123,1.1681307076965053,1.0014752929238526,0.5283573125251715,0.16453143490113312
91,1.8464646464646464,0.9992559527265642,2.1264709897092433,0.3165517533974236,0.7892538747461945,0.4125796509389426
92,1.8656565656565656,0.9992916359759617,0.9078333012508989,1.8082053158849425,-4.996774758716621,-4.999833282667191
93,1.8848484848484848,0.9992970856124757,0.8995204277145057,1.828971484664797,-4.9999623583313335,-4.999763006528526
94,1.904040404040404,0.9992245117354656,1.1777315595657523,1.0252169027574656,0.26482246865680664,0.47749777437632823
95,1.9232323232323232,0.9992326092257958,1.0138088648532884,1.530935983064727,-1.875862826273036,1.573140634198503
96,1.9424242424242424,0.9992784485138603,2.254544924073391,0.03627130150222671,1.2844752620246054,0.2710846138330945
97,1.9616161616161616,0.9993199273040647,0.8711008048519415,1.9106366462511444,-4.773657523339129,-4.999959362309906
98,1.9808080808080808,0.9993138675809671,0.876966295676073,1.8733285518233829,-3.5310681925721354,-0.25937270600803664
99,2.0,0.9665934191167024,0.652325907595933,1.9999999999740647,2.887986835807336,2.7066401637974664
