,fid,tf,y1,y2,y3,t1,t2
0,0.0,4.0,1.9145607742811106,3.1208550539470687,2.1980327260330332,1.9620104523083874,3.2953437856417205
1,0.0,4.040100250626566,2.193396395432155,3.1329588463981186,2.959789763526741,1.975377202517243,3.3220772860594314
2,0.0,4.080200501253133,2.832362826962643,1.817906856031283,2.9885971812861074,1.9887439527260984,3.3488107864771424
3,0.0,4.120300751879699,3.3174891377948965,2.582243440465173,2.438072496483226,2.002110702934954,3.3755442868948533
4,0.0,4.160401002506266,1.6042186671227143,2.5303337459154065,3.322099997001784,2.0154774531438093,3.4022777873125643
5,0.0,4.200501253132832,1.855275863039961,3.5043664737837648,3.5372746352568374,2.028844203352665,3.429011287730275
6,0.0,4.2406015037593985,3.2645311179012864,2.5366691324828086,2.292421184823957,2.0422109535615203,3.455744788147986
7,0.0,4.280701754385965,3.326919597647305,2.341840316821215,3.3618254464096538,2.0555777037703757,3.482478288565697
8,0.0,4.320802005012531,2.9415372388477117,2.5343683408416213,2.1082965853558346,2.068944453979231,3.509211788983408
9,0.0,4.360902255639098,2.481421373257146,1.9807350435097064,1.8331774303339563,2.0823112041880867,3.535945289401119
10,0.0,4.401002506265664,2.4831546829325175,1.8056837135305477,3.11526385737115,2.095677954396942,3.56267878981883
11,0.0,4.4411027568922306,3.024037245519824,1.6411538139177302,3.5495456989792404,2.1090447046057976,3.589412290236541
12,0.0,4.481203007518797,2.8924124683155816,2.476810911650813,3.2032611373595237,2.122411454814653,3.616145790654252
13,0.0,4.521303258145363,3.576183767770278,3.5656567336816667,3.354868471117846,2.1357782050235086,3.6428792910719627
14,0.0,4.56140350877193,2.7512881456017686,3.1358374531310242,3.3259987601618937,2.149144955232364,3.6696127914896737
15,0.0,4.601503759398496,2.7948184380783605,2.139082961204968,2.2847528072670693,2.1625117054412195,3.6963462919073846
16,0.0,4.641604010025063,3.1623484100901953,2.0522699539578797,1.8294359586755513,2.175878455650075,3.7230797923250956
17,0.0,4.681704260651629,3.4089754969841985,2.5865668898317145,3.4961677977828667,2.1892452058589305,3.7498132927428065
18,0.0,4.7218045112781954,2.123666224427353,3.067644483643311,2.2896623314675058,2.202611956067786,3.7765467931605174
19,0.0,4.761904761904762,3.245626933484245,3.172223454277674,2.2441007015279957,2.2159787062766414,3.8032802935782284
20,0.0,4.802005012531328,2.344851336801001,2.4305041612767075,3.2863493074935155,2.229345456485497,3.8300137939959393
21,0.0,4.842105263157895,2.2737203159665773,2.468018652467618,3.3043423329347466,2.2427122066943523,3.8567472944136503
22,0.0,4.882205513784461,2.8823311401234504,2.2656252760897804,3.560445874224232,2.6446227662958366,4.27202460422399
23,0.0,4.9223057644110275,3.4459376661318037,3.3244073204761326,2.1521756743916454,2.657989516504692,4.298758104641701
24,0.0,4.962406015037594,2.1084155723930538,2.3840039474204593,2.0162263945228083,2.6713562667135475,4.325491605059412
25,0.0,5.00250626566416,2.9830486830670093,1.9573935171770536,3.4125252002095743,2.684723016922403,4.352225105477123
26,0.0,5.042606516290727,1.6681788903226482,2.4497055895738526,3.3312730581136245,2.6980897671312585,4.378958605894834
27,0.0,5.082706766917293,3.232428988224691,1.7451377862548236,3.54259348431441,2.711456517340114,4.405692106312545
28,0.0,5.12280701754386,1.9572472593841583,3.483004434334881,2.344834548300003,2.7248232675489694,4.432425606730256
29,0.0,5.162907268170426,2.655111864885718,3.381805748839642,1.647210513521416,2.738190017757825,4.459159107147967
30,0.0,5.203007518796992,3.111651303360772,3.492317389081732,3.459706451451047,2.7515567679666804,4.4858926075656775
31,0.0,5.243107769423559,2.3764315041152413,1.960532819785659,3.256476880921757,2.764923518175536,4.5126261079833885
32,0.0,5.283208020050125,2.9255531432061375,1.6741082788839166,3.29771451620607,2.7782902683843913,4.539359608401099
33,0.0,5.323308270676692,2.7163320538991447,2.15137397206588,1.6859685853034814,2.7916570185932468,4.56609310881881
34,0.0,5.363408521303258,2.7788634127965963,1.7563911704329667,3.396342210791322,2.8050237688021022,4.592826609236521
35,0.0,5.4035087719298245,3.22022963878993,2.3841588192698264,2.79494703953892,2.8183905190109577,4.619560109654232
36,0.0,5.443609022556391,2.885909508545909,1.7286468750140027,2.111872641713414,2.831757269219813,4.646293610071943
37,0.0,5.483709273182957,1.7196351182763747,1.7161046502628545,2.979861038973344,2.8451240194286687,4.673027110489654
38,0.0,5.523809523809524,3.5841270954803,2.2551956229352865,2.749245723835122,2.858490769637524,4.699760610907365
39,0.0,5.56390977443609,2.0259964789635347,3.117566961413186,2.946235987935644,2.8718575198463796,4.726494111325076
40,0.0,5.6040100250626566,1.8126689395132125,2.1650522702858064,1.6302665986330365,2.885224270055235,4.753227611742787
41,0.0,5.644110275689223,2.3161779196350643,1.6451057514908547,2.1876137712745285,2.8985910202640905,4.779961112160498
42,0.0,5.684210526315789,1.8723043743613268,2.9303104538951272,3.4548938971483936,2.911957770472946,4.806694612578209
43,0.0,5.724310776942356,2.0168821745665637,2.7188458680947454,2.827421457237703,2.9253245206818015,4.83342811299592
44,0.0,5.764411027568922,2.5643429000720843,3.009977582164849,1.6112211789219613,2.938691270890657,4.860161613413631
45,0.0,5.804511278195489,3.354337195294893,1.817529282205538,1.7791423103494124,2.9520580210995124,4.886895113831342
46,0.0,5.844611528822055,2.1066266798972,2.5308397871710406,3.298901767991882,2.965424771308368,4.913628614249053
47,0.0,5.8847117794486214,1.7625402956432796,2.5524065662545046,3.4985299328031267,2.9787915215172234,4.940362114666764
