,tf,fid,nu1,nu2,par1,par2,par3,par4
0,0.1,0.8733482026046677,0.7293454839930575,0.3828572687469883,-6.25e-05,0.00021875,3.125e-05,3.125e-05
1,0.1393939393939394,0.8734642942012341,0.9182489665871346,0.6667346512812302,0.00025,0.0,0.0,0.0
2,0.17878787878787877,0.8735785427829581,0.7736023034446302,0.3664708294123964,0.0,0.0,0.0,0.00025
3,0.21818181818181817,0.8736912360984147,0.3603636798793315,0.2206231196007995,3.320312500000001e-05,-9.765625000000004e-06,0.000166015625,-0.00018359375
4,0.25757575757575757,0.8738510834874238,0.6048554925609864,0.06406436228669687,-4.4921875e-05,6.4453125e-05,6.4453125e-05,0.000189453125
5,0.296969696969697,0.8740233050513522,0.8627203951026211,0.03147844963214241,-6.103515624999998e-06,0.000239990234375,5.249023437500001e-05,-9.765625000000009e-07
6,0.3363636363636363,0.874216957361621,0.31239417577457285,0.30115059258847043,0.00025,0.0,0.0,0.0
7,0.37575757575757573,0.8744427326565586,0.14757696244250762,0.14313107490111074,3.125e-05,3.125e-05,3.125e-05,3.125e-05
8,0.41515151515151516,0.8746847976839436,0.8398145754069867,0.9549165905024086,-0.000125,0.0001875,0.0001875,-0.0001875
9,0.4545454545454545,0.8749525131850986,0.3214962839578941,0.13549013738476556,3.5156250000000004e-05,3.5156250000000004e-05,-1.5625e-05,3.5156250000000004e-05
10,0.4939393939393939,0.8752466020632255,0.9304959633160762,0.0003989872590334232,-9.375e-05,0.00021875,9.375e-05,9.375e-05
11,0.5333333333333333,0.8755587809726058,0.07012969326113573,0.15824757180073998,-2.490234375e-05,0.00025341796875,0.00025341796875,-0.00011035156250000003
12,0.5727272727272726,0.889108893813073,0.3955306885640799,0.10909128436827252,325.52551027917167,-16.16719583475783,-416.25974441752084,-402.86942776373365
13,0.6121212121212121,0.8871062524819905,0.15741872732324458,0.5733464110989319,74.14720840375007,-151.9034960391786,-81.82916787893906,197.79196440082572
14,0.6515151515151515,0.8766373342286866,0.0802933128070108,0.9014230043386476,0.0002138671875,5.76171875e-05,-0.0001787109375,0.0002138671875
15,0.6909090909090908,0.8892349481702956,0.8906222863758884,0.4374737740149924,-42.66896660581547,-116.12277131614908,37.20630575307536,60.83902728344169
16,0.7303030303030302,0.8912847772936863,0.4423800459228767,0.7063295924846887,2.1877038519557708,72.07449357595446,-143.4393095273354,80.9874928434773
17,0.7696969696969697,0.8959187287198008,0.5040743911469447,0.33768918160511296,149.19217969955739,-282.00742444015947,-29.192475776114396,26.102061606902595
18,0.809090909090909,0.8970482636570608,0.9522595479133144,0.026532191208888944,-121.25476612645711,-23.96213498098814,103.09490052261965,20.254957615659094
19,0.8484848484848484,0.911115114496932,0.9817127376633308,0.9170717011535297,-176.2330544519845,-62.142791602135524,146.52712329119728,128.68228995895134
20,0.8878787878787878,0.8884756841633432,0.0667056608219504,0.838247390662142,2.447801531230046,39.16158909270136,3.852543539026639,-83.44106832467304
21,0.9272727272727271,0.9054659339858886,0.7674224428596544,0.7034377910983405,-88.89288501232149,-17.82023853355676,19.868425044545788,61.936910180394676
22,0.9666666666666666,0.9156596678028116,0.2452478955992059,0.02957267303220723,125.73421861397615,154.70356858898572,-272.1534029247722,19.81849678643669
23,1.006060606060606,0.9130376939073428,0.5589337087435039,0.6422105604555464,-51.343841226091534,-6.1385118949117015,-59.138978479282045,48.973691314719716
24,1.0454545454545454,0.9172519313264964,0.2707573107217167,0.5706377490592861,30.399487352536603,-42.017345402710475,-83.16729755003644,48.83538786895339
25,1.0848484848484847,0.9335039351849302,0.6218024139162395,0.03915292950875315,70.85572651285392,493.9127134946477,-122.03256083987532,-262.0353889973578
26,1.1242424242424243,0.8990281720861943,0.15434525380766706,0.9821258409860928,50.66268397095215,-80.5692888455357,12.526941212963907,3.939045968545648
27,1.1636363636363636,0.9263054823400094,0.5843659357247342,0.6987882935488311,-45.94151545461938,5.869411551527474,-53.87632952413726,30.905028334136524
28,1.2030303030303031,0.908472704914286,0.04965474614535359,0.7546016165838645,-40.782924773611064,58.99236903910202,9.463655625933603,11.12538366076453
29,1.2424242424242424,0.9233030282847858,0.4945681800968724,0.9534082954521216,-14.823415008811619,40.98619752947727,-65.60017039396382,-1.6031531599877398
30,1.2818181818181817,0.9285670435611938,0.6644016738397416,0.7528251768402798,-33.590248768223674,23.983580974040645,-19.005314861818334,23.346367442066608
31,1.3212121212121213,0.9385259372245124,0.7996347282106384,0.2268180132901013,-75.91128989329081,9.971618626083387,7.322211345937848,11.087303902683013
32,1.3606060606060606,0.9264506379313344,0.6439250271450885,0.7579583964256001,-19.423014731548818,26.600164039794368,-4.148522545331161,26.010103250233804
33,1.4,0.9528192898931144,0.494165773932791,0.2763765935057778,24.193153306554805,-71.84836250761242,27.4466054514195,-84.84875926183271
34,1.4393939393939394,0.9545111269663584,0.18617703705885247,0.2324048210083932,66.32725013657742,-50.35271725934989,-14.364880153245965,-49.0499589804865
35,1.4787878787878788,0.9227248667228164,0.1260924551013045,0.8613176114599415,38.055648872566174,31.98970331582478,-21.87423259253484,-8.429357890201636
36,1.518181818181818,0.9735060578244163,0.6695039404675578,0.1941564186746704,9.13501573967109,-54.331984656821135,-71.49932499015975,-44.09542294628433
37,1.5575757575757576,0.9319659596768156,0.2419745318102564,0.6348753836389082,-15.653146536177536,-11.639383775511751,0.8896169717670828,35.500346626892
38,1.596969696969697,0.9609516295831906,0.7770404088093273,0.11562253080016548,-42.51905211124736,17.69016295716872,12.032672119200235,-4.511495641316085
