,tf,fid,y0,t1,y1,adiabatic_fid
12,0.7538461538461538,0.9006298383407804,5.528984844444514,0.36521893761470814,-0.0002376881467061933,0.8777313286006131
13,0.8,0.9029785293463986,5.24253927749314,0.4268237234894235,-0.00020162376552736917,0.8782710409330398
14,0.8461538461538463,0.9070208942317849,5.4366974871911395,0.42666228865164435,-0.00030414287816490134,0.8788380176424668
15,0.8923076923076922,0.9113853069389631,5.629501475923064,0.4265024001065948,-0.000565054084635042,0.8794329948241797
16,0.9384615384615385,0.9141490912005614,5.3747645387479555,0.4881906003769321,-0.000569643103910584,0.8800553994600914
17,0.9846153846153847,0.9187976009776203,5.558018144797228,0.48733276435304534,-0.0002639022978648236,0.8807033391444735
18,1.0307692307692309,0.9215858387573491,5.336072804874642,0.5497809015070594,-0.0002381682218023204,0.8813761019376019
19,1.0769230769230769,0.9266052240519586,5.498172176245197,0.549629195138413,-0.0005931218893538135,0.8820737454952918
20,1.123076923076923,0.9382522811224212,5.903688309864595,0.5483424758045443,-2.7802261160809083,0.8827953817463116
21,1.1692307692307693,0.9348190550620318,5.468975898201769,0.6105599371792105,-0.0006732347145715013,0.8835385575553709
22,1.2153846153846153,0.9401001113955824,5.6192848688134465,0.610644667898443,-0.0005797360681180256,0.8843041310894716
23,1.2615384615384615,0.9431896944298264,5.44478184893361,0.6729547546643913,-0.0002159761332683507,0.8850909283524838
24,1.3076923076923077,0.9487146688843395,5.590838123675061,0.6723151076209073,-0.00047746220655883205,0.8858980144670067
25,1.353846153846154,0.9541730639256384,5.745613720693196,0.6716761652242429,-0.0006260195517910324,0.8867238842873628
26,1.4000000000000001,0.957104591508948,5.572158749508896,0.7341991639541449,-0.000783950315317924,0.8875675940882294
27,1.4461538461538461,0.9649492943283495,6.022738928870513,0.6716595042158056,7.350863509713492e-05,0.8884286201661825
28,1.4923076923076923,0.9678946918212673,5.84768348642615,0.7335423976611151,-0.00020863256655687332,0.8893057672358553
29,1.5384615384615385,0.9681986801093084,5.440262966377611,0.8577828867650217,-0.001173038618963295,0.8901976140488851
30,1.5846153846153845,0.9755336798897589,5.825804955625003,0.795549656997165,-0.0006752002373240336,0.8911031592402984
31,1.6307692307692307,0.9780259500812214,5.689887221391539,0.8578466203337596,-0.00043531382465251587,0.8920216566957356
32,1.676923076923077,0.982544849596062,5.812600561777332,0.8575402365317508,0.00011717095113547728,0.8929518879152025
33,1.7230769230769232,0.9865537601199318,5.938652123616515,0.8571801116665413,-0.0004660935876864336,0.8938925049645873
34,1.7692307692307694,0.9865247289838536,5.576592003707864,0.981924799098864,0.0003050556452738352,0.8948425103642375
35,1.8153846153846154,0.9900276337021149,5.69015390451646,0.9820789904773943,-0.00043394510517999767,0.8958009480885292
36,1.8615384615384616,0.9929235992256218,5.806096343901949,0.9816759634593493,-0.0005732806070681328,0.8967665475898736
37,1.9076923076923078,0.9940645946815971,5.6991540825025595,1.043704407924619,-0.00030580536594104356,0.897737920650524
38,1.9538461538461538,0.994970515595918,5.603903615301623,1.1061746252011395,-0.0008157702957930995,0.8987141524046945
39,2.0,0.9965424560237407,5.910383115453229,1.044028288167183,0.00044744281159414003,0.899694189245707
40,2.0,0.9965424560237407,5.910383115453229,1.044028288167183,0.00044744281159414003,0.899694189245707
41,2.051282051282051,0.99675625675115,5.629079118135079,1.1683009314439132,-0.00020517972275579293,0.9007861402857034
42,2.1025641025641026,0.995714041483569,5.929987700232343,1.1060608422626812,-0.0008589855291933524,0.901879748091161
43,2.1538461538461537,0.995981916411306,5.664697283740145,1.2302016393157849,-0.0001747235946253198,0.9029734788548759
44,2.2051282051282053,0.9936154697968596,5.765248620750338,1.230397588606435,-0.0012912831180395047,0.904065704827774
45,2.2564102564102564,0.9940490512292979,5.5381427645305035,1.3545488073884973,-0.0005095707608815338,0.905155048848479
46,2.3076923076923075,0.990337341229114,5.630445388798294,1.3544559640070069,-0.00031494671840403437,0.9062400760287193
47,2.358974358974359,0.9974939204096841,4.859396285550592,1.788242907259849,0.0013840598778472849,0.9073193239712771
48,2.41025641025641,0.99755366624324,4.751893823140762,1.911653468925335,0.0007765064240328702,0.9083913782499254
49,2.4615384615384617,0.996171280914007,4.92332353264222,1.849465366000617,-0.0017801222586666182,0.9094548425130369
50,2.5128205128205128,0.9848225644536804,5.314530979841585,1.6637553545102322,-0.0009155799141087876,0.9105084934710946
51,2.564102564102564,0.9968950178054468,4.504972837241729,2.283923769389581,-0.0019319174783310506,0.9115510843277751
52,2.6153846153846154,0.9840891962297771,5.147499284405092,1.8494741044039362,-0.0005241207892497284,0.9125813782163555
53,2.6666666666666665,0.9976225381207073,4.572234578908612,2.3442810237293576,-0.0016370900543530654,0.9135981572175856
54,2.717948717948718,0.9974113289601465,4.57277431729511,2.4052959792599102,-0.0017695875681802186,0.9146011477562381
55,2.769230769230769,0.9969990180217739,4.572410409417521,2.4669449083878994,0.00017701161003593553,0.9155877322352509
56,2.8205128205128203,0.9969629529101273,4.459465391652336,2.653891170353773,-0.0025418292858035802,0.9165578872913865
57,2.871794871794872,0.9971806920678044,4.46356391709813,2.7172295458255356,-0.002319061064328081,0.9175106263023779
58,2.923076923076923,0.9974554699539935,4.469605978597663,2.7784764417268226,-2.898617933774251e-05,0.9184450529355993
59,2.9743589743589745,0.9967910780053056,4.524906290466149,2.7765663452962412,-0.0007929861496162211,0.9193603796572289
60,3.0256410256410255,0.9973531936178301,4.439861742217269,2.9593468125572207,-0.0004191151243465483,0.9202565304631369
61,3.0769230769230766,0.9217465828179899,5.218466900460706,2.1588033199684924,-0.00020587957861412416,0.9211318527147819
62,3.128205128205128,0.9769587721711674,-4081.489143865569,1.6252534437519252e-08,3.551258887222804,0.9219863349962928
63,3.1794871794871797,0.9785930039770687,4286.617136968707,2.505627129459547e-06,3.570491672439233,0.9228195773471032
64,3.230769230769231,0.9800768108164734,-8065.085274984414,1.5761545956446191e-10,3.5898201740938473,0.9236311773135484
65,3.282051282051282,0.9244827325760308,0.6220761749297523,1.9216404015466473e-07,0.006236492250570873,0.9244207519539587
66,3.333333333333333,0.9829534080786244,-7046.7383336949915,5.419515479108853e-10,3.628987008585019,0.9251880631626829
67,3.3846153846153846,0.9842989200376556,-4969.581684089144,1.743629008006496e-09,3.65135437832602,0.9259330879530244
