,tf,fid,nu1,nu2,nu3,par1,par2,par3,par4,par5,par6
0,0.1,0.8733482053330262,0.2518318148262839,0.35836088819026046,0.5351671440970361,0.0,0.00025,0.0,0.0,0.0,0.0
1,0.1393939393939394,0.8734642926602925,0.7049979465595981,0.897874817558249,0.06841293680525962,-0.00010648148148148149,6.018518518518518e-05,-4.513888888888889e-05,3.587962962962963e-05,6.018518518518518e-05,6.018518518518518e-05
2,0.17878787878787877,0.8735785417039715,0.12658012138654684,0.23551786999896795,0.9543586172012627,1.9211534064929125e-05,-2.9099508459076357e-05,-3.094993141289438e-05,0.0001670381801554641,6.287151348879742e-05,-1.9433013260173773e-06
3,0.21818181818181817,0.8736912381388671,0.8908166471542016,0.4911128495066277,0.18804021503193868,0.0,0.00025,0.0,0.0,0.0,0.0
4,0.25757575757575757,0.873851080671749,0.5416842465446259,0.593670391143228,0.5921542702726934,0.0,0.0,0.00025,0.0,0.0,0.0
5,0.296969696969697,0.8740233063563965,0.41160553614507156,0.06847297231277572,0.887029815634927,5.555555555555555e-05,-0.00011111111111111112,5.555555555555555e-05,5.555555555555555e-05,-4.1666666666666665e-05,0.00018055555555555555
6,0.3363636363636363,0.8742169570183548,0.3299040356826741,0.1484002796711067,0.7127163867321705,-5.5362654320987654e-05,4.012345679012345e-05,6.616512345679012e-05,1.8518518518518515e-05,-2.469135802469136e-05,4.012345679012345e-05
7,0.37575757575757573,0.8744427349556796,0.3670559052676775,0.48461243580976665,0.10577986403190687,0.0002672991921963116,-0.0001816034141137022,-6.603414113702183e-05,0.0002672991921963116,-2.636793171772596e-05,-5.4641060813900323e-05
8,0.41515151515151516,0.8746847995378747,0.3902061087780485,0.0438248194564399,0.3351604604664804,-9.25925925925926e-05,0.00019907407407407406,-2.3148148148148154e-05,7.407407407407407e-05,7.407407407407407e-05,-5.555555555555555e-05
9,0.4545454545454545,0.8749525194976528,0.7662053618859057,0.6742467733610948,0.250459630589962,-0.00022530864197530868,0.0001036522633744856,-9.387860082304529e-05,0.00018698559670781893,0.00030041152263374487,-0.00023894032921810703
10,0.4939393939393939,0.8752466120049388,0.28429752736770775,0.40399989986811535,0.283976167038803,0.00010239363663944925,-0.0003721219314006373,-0.0001699763897140824,-5.8510631190846084e-05,0.00032991230757375804,7.236763775152003e-05
11,0.5333333333333333,0.8755587816225922,0.2605220056055815,0.15805978512140728,0.27524395534600465,-0.0001358024691358025,3.0864197530864103e-06,-0.00014814814814814815,-6.17283950617284e-05,0.00019753086419753085,0.00019753086419753085
12,0.5727272727272726,0.8758967208429332,0.44039629388740875,0.9790183431628114,0.8423540445260017,4.1666666666666665e-05,0.0001666666666666667,4.1666666666666665e-05,-0.000125,4.1666666666666665e-05,4.1666666666666665e-05
13,0.6121212121212121,0.892897880738206,0.013095706961498754,0.3338970804498512,0.6729015447894926,98.41352333308438,-364.38399998868124,57.16653152844793,18.329684452890376,-208.6743978547613,132.41905330765076
14,0.6515151515151515,0.8921935731705453,0.031866249381169776,0.28632942176928755,0.6045868520009672,107.23094306358624,-286.3470976779178,-181.3125711885033,81.4880759939534,-365.56745134110037,161.271668535652
15,0.6909090909090908,0.8900084876730587,0.8905913234218638,0.12952960442841244,0.5657582843791895,-155.27162079184313,-0.5279318887071246,70.6399262101099,48.501317178876334,8.826824271951974,22.99214798274076
16,0.7303030303030302,0.8928316105945557,0.5741988897282936,0.5680451144697061,0.6699535156756601,-83.59948653682794,-28.78932200473958,56.01144930934937,-57.71693994013336,86.3673958779359,-4.553700876723294
17,0.7696969696969697,0.8884231204884026,0.23734438031062877,0.9899686362174775,0.44695714258833075,45.75148704126017,-24.79663981500247,30.0138580055551,-76.44287834058633,-47.65288725171014,59.03712724810243
18,0.809090909090909,0.8981583352369693,0.6665446669472206,0.020521595511223567,0.9437842317342465,-169.39140392822958,36.63013129546411,8.418570131874556,-83.69719810245616,23.100464204148327,28.62481027614337
19,0.8484848484848484,0.9082334637815741,0.0036499562077292325,0.4255806479229389,0.8000710670150778,-9.370094713817606,-173.57237022526832,88.4884426971708,4.407391841193609,3.1648236342971208,-37.00921930939036
20,0.8878787878787878,0.8949353501143302,0.1645396069277547,0.3172521141944139,0.693032653523828,70.31586145806166,-119.54495089059138,-36.79786634696689,17.60659562608393,5.072746972753046,1.0395991892543677
21,0.9272727272727271,0.9013954688153091,0.5023347962710486,0.002352837757051751,0.9806943887819508,-62.327543155282996,-20.272121009612015,15.08828075050984,-127.79261321487151,22.469852546684656,67.91460203961046
22,0.9666666666666666,0.902538914067347,0.8313724904935978,0.09532838449164605,0.11103146013321497,-121.64263390462891,18.669044335167975,51.4026065552532,100.98760048447038,-29.01112619701995,88.83186589637913
23,1.006060606060606,0.9122718046841312,0.7208531131202371,0.6346002603507142,0.306605948193581,-31.742560700017926,-19.851727596466127,-45.31623906025669,11.658502102800428,38.68562040689177,9.793341072123262
24,1.0454545454545454,0.9167508582223304,0.04759016482531131,0.2706714927230045,0.18785370177862615,20.630735111036604,88.4514926959228,-193.29736135875407,30.095207945508662,-48.94640296829081,-26.04643726713806
25,1.0848484848484847,0.9250871899661433,0.128703678046311,0.726444423067626,0.46255290586485576,-23.381780034833824,35.41123382806703,-24.08218244537988,126.53092794871606,-78.058564072684,-18.874927409505474
26,1.1242424242424243,0.9105814406475269,0.5030683187390673,0.6061230386117233,0.05484538640300596,10.259857518625374,-38.17516705181315,-29.82571330374077,-14.527801341937032,71.1631502856244,7.506905615463138
