,tf,fid,y0,t1,y1
13,0.3494949494949495,0.7584621134619149,1.999773010054743,0.21633146545214155,-1.9998817004836384
14,0.3686868686868686,0.7625307017654495,1.9996048545982363,0.22732273938346326,-1.9998519238939494
15,0.3878787878787878,0.7668149412196046,1.9999950009417133,0.24110097082192128,-1.9985142556753055
16,0.407070707070707,0.771289805435272,1.9999673042840564,0.2544451706111812,-1.999936364488867
17,0.42626262626262623,0.7759252820766945,1.999955775035977,0.2659096861485822,-1.9996650854496383
18,0.44545454545454544,0.7807626297321147,1.9999951015941726,0.2802173536705811,-1.999648205123052
19,0.46464646464646464,0.7857553167775444,1.9999838367785674,0.29390987275966013,-1.9992839083816758
20,0.48383838383838385,0.7875941427513168,1.8500753623573476,0.314996558709148,-1.9999794698805058
21,0.503030303030303,0.7374993353995278,0.3057042938437967,7.150921526281733e-06,0.5081117698894797
22,0.5222222222222221,0.8016919083812825,1.999996043656504,0.33223901490062147,-1.9999376978884515
23,0.5414141414141413,0.8059924607251144,1.9999719218864538,0.34488917332127944,-1.8708911232471241
24,0.5606060606060606,0.8129643243813403,1.9999860324654146,0.3579671462654297,-1.9996539171582652
25,0.5797979797979798,0.8169024496689109,1.9999951316574953,0.3610012793019041,-1.8438231662196132
26,0.598989898989899,0.8249174022735649,1.999989220928609,0.3899341627532892,-1.9998553134543902
27,0.6181818181818182,0.8309625214053303,1.9999418058955514,0.4063096350304256,-1.9991228195080286
28,0.6373737373737373,0.822493408378455,1.9999747447483005,0.3691645315467865,-1.0832450146984844
29,0.6565656565656565,0.8434196716809126,1.999928508963038,0.4335215337262933,-1.9994714560219542
30,0.6757575757575757,0.7501480829398715,0.27230153468004614,6.542351768177147e-06,0.5174247715514788
31,0.6949494949494949,0.8560933754457436,1.9999751920724878,0.4620938092237077,-1.9999679760030848
32,0.7141414141414141,0.8625337481495272,1.9999726242251108,0.47845811286497086,-1.9999824782542857
33,0.7333333333333333,0.8687166305387722,1.999847443399006,0.4929928170644339,-1.981368151010483
34,0.7525252525252525,0.8754267492447967,1.9999890833693987,0.5094552289406518,-1.9999913340562698
35,0.7717171717171717,0.8818539358126268,1.999991595297757,0.5249160673842113,-1.9984346108896536
36,0.7909090909090909,0.8883054819331336,1.9999914282805187,0.5409895393920521,-1.9999821943896539
37,0.81010101010101,0.8939451088176614,1.9998700789029735,0.5484518068846964,-1.9994012833493997
38,0.8292929292929292,0.9006371952426738,1.9999887452795377,0.5702434803644882,-1.9710406605789674
39,0.8484848484848484,0.8808927521791939,1.9999976728769533,0.47830101766228755,-0.7969503763313242
40,0.8676767676767676,0.9134681870406581,1.9999743581629144,0.6031828591041888,-1.999903588568975
41,0.8868686868686868,0.9196308837040865,1.9999972630145413,0.6212229820480443,-1.9999896467069402
42,0.906060606060606,0.9255957356323927,1.9999915391454588,0.6399731494645287,-1.999968607105481
43,0.9252525252525252,0.9302307633590554,1.9999954966897597,0.652462822703056,-1.919669058444712
44,0.9444444444444443,0.9371112503086528,1.9986005899617387,0.6728069052280796,-1.9999817551494825
45,0.9636363636363635,0.9427354601628996,1.9999970074503342,0.6885459765411976,-1.9999887951100241
46,0.9828282828282827,0.9478880736793739,1.9999987019741536,0.7023121724882294,-1.9999083445774333
47,1.002020202020202,0.7826064469872768,0.020952044129832738,1.0854825956567424e-05,0.5422033343977175
48,1.0212121212121212,0.9582301133174526,1.9999633743462373,0.7413340832679028,-1.999954936822475
49,1.0404040404040404,0.9629615783981259,1.999980820895506,0.758804390530366,-1.9991596342384863
50,1.0595959595959596,0.9673614500570841,1.999999570927046,0.7758650221535932,-1.9906411453828383
51,1.0787878787878789,0.9717235313381094,1.9999978585314755,0.7931859314952521,-1.9998550069339622
52,1.097979797979798,0.9290272960907501,1.9999797536538195,0.5337874881952416,-0.22392422750159557
53,1.1171717171717173,0.9793926476837747,1.9999969046751955,0.8293035574857957,-1.9999588468529303
54,1.1363636363636365,0.7986489055678089,0.10512465904814139,5.431621555364198e-05,0.5553246147845176
55,1.1555555555555557,0.9843576946274448,1.9999167079061526,0.848370729804584,-1.8098763096960524
56,1.1747474747474747,0.9883249965788318,1.9896900887439048,0.8837219075503213,-1.9993647852119554
57,1.1939393939393939,0.9909905770329855,1.9999856284501285,0.8996504768304532,-1.9750745565329746
58,1.213131313131313,0.9931560248483211,1.9999928371069122,0.9162414220894883,-1.9702232223941947
59,1.2323232323232323,0.9951021207488367,1.9999855122110763,0.9369974344909235,-1.9999409638699883
60,1.2515151515151515,0.9965517976647847,1.9999859548167205,0.9550645693293889,-1.9997691674467069
61,1.2707070707070707,0.9971518145684929,1.999999730543541,0.9562184532814699,-1.8215348958197675
62,1.2898989898989899,0.998383507595461,1.9999980737617205,0.9919321586892478,-1.999940877451684
63,1.309090909090909,0.8209114966672557,0.21502738960297757,1.823969961516189e-05,0.5702564035867825
64,1.3282828282828283,0.9603866938974175,1.9999828674784241,0.5619789660483927,0.10674913960550231
65,1.3474747474747475,0.9988129982078493,1.9829318622115206,1.007965724201242,-1.5948093737084288
66,1.3666666666666667,0.998812840103385,1.9913268532212725,0.9841690333528545,-1.2778111501262592
67,1.385858585858586,0.9988147046644591,1.9991887994956268,0.9660277256491006,-1.0570263478736224
68,1.405050505050505,0.8339735953577825,0.6087420724793371,0.0802494192158081,0.5950067127790066
69,1.4242424242424243,0.9851808355327202,1.9999936300129288,0.6739283674425463,0.015667366969382222
70,1.4434343434343435,0.998821367891023,1.961670281720056,0.9497969097031786,-0.688007586584954
71,1.4626262626262627,0.9988253603576603,1.8688707796885136,0.996351620011058,-0.7441604618493866
72,1.481818181818182,0.9988286832984652,1.8626480008190682,0.9865282877740928,-0.624109821408908
73,1.501010101010101,0.9988335997315473,1.8297119884008022,0.9972993337283709,-0.5736656753520051
74,1.52020202020202,0.9988351937241031,1.7951181596638834,1.0110640534144901,-0.5346087395145359
75,1.5393939393939393,0.998839745332526,1.7609235824285356,1.021199574213901,-0.48301043728627824
76,1.5585858585858585,0.9964583203757421,1.9999749764152575,0.7382753885859632,0.08277070801226652
77,1.5777777777777777,0.9988341815094144,1.9630022989524507,0.8533172676574768,-0.07578602768582275
78,1.596969696969697,0.9988658062267248,1.4587725066081698,1.3038891127960506,-1.3527420128091157
79,1.6161616161616161,0.9988697774603497,1.4339862094358224,1.3225350373337719,-1.3073959249938274
