,num_spins,tf
0,50.0,1.01
1,60.0,1.04
2,70.0,1.06
3,80.0,1.09
4,90.0,1.11
5,100.0,1.12
6,110.0,1.1400000000000001
7,120.0,1.1500000000000001
8,130.0,1.1700000000000002
9,140.0,1.1800000000000002
10,150.0,1.1900000000000002
11,160.0,1.2000000000000002
12,170.0,1.2100000000000002
13,180.0,1.2300000000000002
14,190.0,1.2400000000000002
15,200.0,1.2400000000000002
