,num_spins,tf,fid,y0,t1,y1
0,50.0,0.99905596442845,1.1500000000000001,1.9999999999352316,0.8485740053989798,-1.9382308572854414
1,60.0,0.9990005602506161,1.1800000000000002,1.9999977747887545,0.8708942115819576,-1.8645677838991606
2,70.0,0.9990094048595495,1.3400000000000003,1.6284984505785096,1.0551633839050367,-1.6953981176184507
3,80.0,0.9990063181148888,1.4700000000000004,1.4054256250975097,1.2339805771177752,-1.8721897250380681
4,90.0,0.999002989395878,1.5900000000000005,1.2709428951575965,1.3866962888510692,-1.9878322188250694
5,100.0,0.9990010661845549,1.7100000000000006,1.1767143544287693,1.5210230125466184,-1.896822285236582
6,110.0,0.9990020261986227,1.8400000000000007,1.1036215622052052,1.6439824744561242,-1.5125213734449008
7,120.0,0.999001507268555,1.9200000000000008,1.0585204916846631,1.7673306177986534,-1.971318336461232
8,130.0,0.9989499267383892,1.9900000000000009,1.921788996552947,0.6082706392441908,0.5225034578787386
9,140.0,0.9989748785704498,1.9900000000000009,1.048765744300271,1.8423657281423764,-1.972861706402829
10,150.0,0.9989571011393149,1.9900000000000009,1.0596004790638547,1.8413406102489571,-1.9999955727781833
11,160.0,0.9988965153480887,1.9900000000000009,1.994333783228033,0.624773748808162,0.5090304259105347
12,170.0,0.9989250427192774,1.9900000000000009,1.087324969332448,1.8177797288241082,-1.7059828840636209
13,180.0,0.9989114312549678,1.9900000000000009,1.0947064577541772,1.8309282302206753,-1.957467434339228
14,190.0,0.9988911361287939,1.9900000000000009,1.1360180588126707,1.7272885649018692,-0.9002522037048925
15,200.0,0.9988904629341366,1.9900000000000009,1.1154252033899004,1.827037372488424,-1.9692590876520066
16,210.0,0.9988784330132506,1.9900000000000009,1.1246501101266984,1.8246784657017168,-1.9589670213556558
17,220.0,0.9988715388392987,1.9900000000000009,1.1333211477318166,1.8214306470753903,-1.9375184531169771
18,230.0,0.9988201234953817,1.9900000000000009,1.9940926958657335,0.7095537793796655,0.46587820100272126
19,240.0,0.9988086432132138,1.9900000000000009,1.7170268643053093,0.8959223065112908,0.39355563265713006
20,250.0,0.9988101038218505,1.9900000000000009,1.3929615377644222,1.2786112881692506,0.1433219394927632
