,fid,tf,y0,y1,nuk1,nuk2,nuk3,nuk4,nuk5,nuk6,nuk7,nuk8,nuk9,nuk10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10
83,0.999958520323437,1.0076767676767675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-199.99999773828296,-36.44558883880052,-55.90030271822534,39.0468653144023,68.15876801911187,10.789579309253062,-74.51208757336387,10.994067856224008,8.868981824048188,-68.06630118799964,181.65364458812493,38.17788401821939,5.2399041010623115,-25.772134281455298,41.43466641723224,15.507681083540035,-36.14190993966446,40.552701519302204,38.9869596665445,-34.62706809144574
84,0.9999602311673846,1.0196969696969695,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-193.2714952037007,-39.83416041279897,-72.19275052501872,-15.97038344297732,48.18547517015454,60.087334486674905,-61.16628745394742,-18.92891137327092,39.16726278470756,-97.44847855506018,171.71365629123477,44.05630764766104,8.513757312778328,4.659287370500523,55.35331165699328,7.588996439303792,-10.056475098058952,18.86999245332581,51.61204673305756,-36.90296827322518
85,0.9999645189824501,1.0317171717171716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.48320191480883,-89.99989809187039,-38.266405515768476,-5.960626117117583,89.26094675243523,21.631837598765042,-6.707370609721127,-43.86548791400019,58.86660827472795,-78.76203386433758,159.4405078143126,82.60693611346935,-28.760588115999823,47.652434075364944,54.519537832057225,-4.349152382312765,-67.6765929792464,23.581332047140755,70.88300164107794,-34.38675517615969
86,0.9999135455191935,1.0437373737373736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-159.91286341351176,3.175791440992583,-33.49194437710651,-122.26855382876637,4.882385710252188,34.83650049805598,8.151265000497773,13.125842452157928,-33.50962698620442,-60.5709738409954,151.1975472086727,-35.52655772697594,-24.193412013721705,28.840871446600275,61.5758970574774,-4.740934191026834,28.676720900002167,0.7030938422093048,80.11922171698954,76.11075496019225
87,0.9999631773397584,1.0557575757575757,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-177.74230603432824,-46.03255909335244,-53.910481548890544,-31.664150437434824,-18.397568676561477,14.593877548332276,70.33988483213088,-73.47315245444011,-72.39898387102531,-23.71766407018994,146.60861049276855,58.453866554131224,40.51749263623943,48.46119853413367,83.37691856090086,40.5292725857231,90.46261851893854,-46.146771477779154,-85.47766241048333,29.879987163374043
88,0.999964135441494,1.0677777777777777,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.97128814918383,-67.76960036588828,4.757131862337359,33.61802792867808,-42.34042217448924,15.00306506608954,41.41208654126559,-99.96112495826969,-132.67727375930403,-15.759340928240732,139.27807817008352,56.62250852813172,29.63404415926254,54.19005074865489,57.18614711005864,44.377518890316516,63.59672677068314,-102.53368314174412,17.878699697818224,33.61007957800065
89,0.9999650448157881,1.0797979797979798,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.85836290218674,-31.73167626757884,-12.71938712993582,26.725237066833223,-84.60039864477221,53.43158135222235,82.5017786237407,-5.945747270053056,-94.00594833940875,-50.60914438422189,133.0307147784836,85.95456532954023,68.87067104417176,8.661730495873362,-54.03295668632096,20.9067754541647,116.54668841751453,-64.3642644883953,10.82592604124548,7.090764453152837
90,0.999962929225215,1.0918181818181818,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139.7179471747606,-51.44726002311071,-33.1525318900522,-17.68681788141683,-85.62324311938988,25.63213004971233,52.091090045132034,61.128039064257166,25.61451222236795,-23.008713463403517,125.46777159577192,14.469410582365175,35.36704614707958,-14.465955104415315,-84.92003686373741,55.7711862328575,95.41237333377079,25.96764352716094,13.303100043292948,-24.994849284960267
91,0.9999623591903016,1.1038383838383838,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-132.45087953154894,-15.542701492709753,-34.09764791349467,-32.08535112574283,-35.03121157382252,-43.9692097050631,46.80333035433906,-2.99068880015705,-49.529876698662264,55.123562503008436,121.38797262707834,2.6258166404553855,-35.59189318596921,1.7342039308148702,46.54024307439198,74.93052960854448,51.11062464162139,31.669412772216205,-10.078289985851065,-48.84608800014621
92,0.999968353081114,1.1158585858585859,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155.09724837436474,-42.68429996998619,-71.76302243739357,-43.58634626290812,-71.38217385000146,22.180728187919744,60.6426041796449,-75.96756164492899,-95.99262818827316,-31.373065491070978,113.2035639780421,100.2910848848389,52.45631086253659,62.041687475617685,58.830016498370945,92.08630877572404,120.94970738137887,-82.76950098572371,-36.8302404166255,31.1683780158111
93,0.9999670601750604,1.127878787878788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-136.0067363342317,-42.029589780289626,-16.99327289040014,19.437756940165443,-0.02412191391148156,37.38494719799714,36.66158235451143,-52.116396299454024,-88.19157022299143,-32.96954382113643,109.03943068629982,55.535232879881825,31.279950542069837,48.2935572712742,-27.450249617026934,71.13607283660963,75.13118056817109,-80.68383226756627,-28.872273320985034,54.75950828302012
94,0.9999678471333099,1.1398989898989897,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.94157357181965,-62.93592792681785,-51.7775292863506,-23.695786615106403,-105.74216300693868,0.7581399149443572,67.97613699361528,15.280513991815354,-14.109735490181151,15.608356060996947,101.10671225096827,38.42340206536662,34.42710490241524,-0.02348414200424324,-75.21659125789378,89.58089601364692,115.06433688817327,40.22640585236692,16.296976813864354,-27.993343662748437
