,fid,tf,y0,y1,nuk1,nuk2,nuk3,nuk4,A1,A2,A3,A4,B1,B2,B3,B4
0,0.961664326414067,0.01,0.0,1.0,0.0,0.0,0.0,0.0,-199.99997577306132,2.208135354576056,-8.21052698651686,-14.052325945433367,119.31448545578942,8.585387399174877,31.509958641140997,12.13474992810369
1,0.9616680931452138,0.02202020202020202,0.0,1.0,0.0,0.0,0.0,0.0,-199.6423167365581,-6.352128332019185,199.99999811367525,-199.99997593325213,157.1650862682401,-195.31438810583424,75.93726741509518,42.49031173018365
2,0.9616747545866212,0.03404040404040404,0.0,1.0,0.0,0.0,0.0,0.0,-199.99999747814744,-105.29441180235818,-66.34093794291985,37.17701078320606,173.68431707806386,-199.99999764167262,59.0995601193272,171.2297651996102
3,0.9616844138819577,0.04606060606060606,0.0,1.0,0.0,0.0,0.0,0.0,-199.99999996826557,-121.86522905128072,-69.46290481644013,40.63492615147032,199.99999971398225,-198.18102226790086,31.303061195340852,173.40774666710402
4,0.9616971896139767,0.05808080808080808,0.0,1.0,0.0,0.0,0.0,0.0,-199.9999964349578,-121.58838118766954,-69.933853618345,41.03042877772834,199.99999162575483,-199.99999989534794,32.92214577761914,174.60563069727652
5,0.9617132577695995,0.0701010101010101,0.0,1.0,0.0,0.0,0.0,0.0,-199.9999999592664,-122.27712848459426,-70.41641495816916,40.098640383902556,199.99999998116263,-199.89964816612283,32.52911998411787,174.77338036972537
6,0.9617328143745197,0.08212121212121211,0.0,1.0,0.0,0.0,0.0,0.0,-199.07312557334444,-121.3159492552921,-69.95950281004198,39.302374265714505,199.99999998713866,-197.92069483723844,31.210500852410203,173.60315152001303
7,0.9617561245343792,0.09414141414141414,0.0,1.0,0.0,0.0,0.0,0.0,-199.99999996755867,-118.34713589166086,-65.59951692130595,38.75777796227589,199.99999998867733,-187.49209950990252,24.622167047591873,166.49778226004526
8,0.9617835004344707,0.10616161616161615,0.0,1.0,0.0,0.0,0.0,0.0,-199.99938493377329,-119.63372095261775,-67.58613766268546,39.01477950147965,199.99999996712518,-192.43924982600683,27.96271732465658,169.8953275811458
9,0.961815285197486,0.11818181818181817,0.0,1.0,0.0,0.0,0.0,0.0,-199.99931267904242,-121.58479034198507,-70.63007858973067,39.3736404312876,199.99999999821694,-199.99040342927242,33.07248706695453,175.09189932059707
10,0.9618517816225448,0.1302020202020202,0.0,1.0,0.0,0.0,0.0,0.0,-199.99999998717243,-121.51688151138787,-70.51036838901038,39.375174474347745,199.99999997928268,-199.7069335817508,32.87635554303196,174.89208953885205
11,0.9618934323695176,0.14222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,-199.9999999965376,-121.39073956880463,-70.31110690846555,39.354832704301415,199.99999998855174,-199.21537721572426,32.54292409191835,174.55286099737515
12,0.9619406906139885,0.15424242424242424,0.0,1.0,0.0,0.0,0.0,0.0,-199.93232369033942,-121.97073455049718,-70.29047263456334,40.377785442284136,199.9999999965329,-199.9999999975915,32.73755535854271,174.77542037282944
13,0.9619940052921322,0.16626262626262625,0.0,1.0,0.0,0.0,0.0,0.0,-199.99999999652175,-121.61160410705598,-70.42682190408343,39.826838072106185,199.75601638624067,-199.99999998841048,33.17309323530965,174.91210332124007
14,0.962053838539956,0.1782828282828283,0.0,1.0,0.0,0.0,0.0,0.0,-199.56787931088274,-121.81585261367616,-70.61480456726393,39.658515357609986,199.9999999946435,-199.99999998490264,32.77727023355567,174.98181704322693
15,0.9621210209346158,0.1903030303030303,0.0,1.0,0.0,0.0,0.0,0.0,-199.99999999775585,-121.67663090727936,-70.53463458725592,39.64337140598755,199.97572589733122,-199.99999996076494,33.01665851306172,175.00844631886486
16,0.9621958491274876,0.20232323232323232,0.0,1.0,0.0,0.0,0.0,0.0,-199.99999999633857,-121.6918534494988,-70.53842177498544,39.645890994523825,199.9999999962156,-199.99999999431637,32.99249820067572,175.01185771831263
17,0.9622788845509942,0.21434343434343434,0.0,1.0,0.0,0.0,0.0,0.0,-199.9999999979806,-121.12610344692634,-69.73488857947808,39.46335982339849,199.99999999575215,-197.93279382416182,31.61998642753134,173.61606354076156
18,0.9623712439847266,0.22636363636363635,0.0,1.0,0.0,0.0,0.0,0.0,-199.99987209866646,-121.66305832075832,-70.56528660948715,39.56963321925028,199.99999999984578,-199.9998427611149,33.016258313193234,175.03601725462707
19,0.9624731191178428,0.2383838383838384,0.0,1.0,0.0,0.0,0.0,0.0,-199.99999999870047,-121.59407346060792,-70.53883064446535,39.577903351346784,199.8777661390087,-199.9999999900052,33.131625269842274,175.01229126741185
20,0.9625856257042338,0.2504040404040404,0.0,1.0,0.0,0.0,0.0,0.0,-199.9999999994806,-122.24021816128362,-70.31359351814794,40.393946923093665,199.99999999463438,-199.98342648688282,32.59907415269422,174.74893447351428
21,0.9627088510622285,0.2624242424242424,0.0,1.0,0.0,0.0,0.0,0.0,-199.9999999995594,-121.45648249912381,-70.48482031471136,39.597662433818954,199.63607017475726,-199.99999999681467,33.359660383724815,174.9641786974472
22,0.9628443595251445,0.27444444444444444,0.0,1.0,0.0,0.0,0.0,0.0,-199.99999999847995,-121.08974475493353,-70.17890070310935,40.23993147008401,199.99999999686418,-199.9999999741213,33.27960220508736,174.86756960853123
23,0.9629919989612086,0.2864646464646465,0.0,1.0,0.0,0.0,0.0,0.0,-199.36428963971252,-122.64411789014898,-70.59231720933383,40.113069538655004,199.9999999973123,-199.99999999810254,32.21430695616341,174.79680317857978
