,fid,tf,y0,t1,y1
247,0.6670332922034202,5.02022022022022,3.999999999999999,2.6355543336305054,-4.0
248,0.6633571272169555,5.04014014014014,4.0,2.646073573573573,-3.9999999999999996
249,0.659793105527585,5.060060060060059,4.0,2.656531531531531,-4.0
250,0.6564233138827812,5.07997997997998,3.999999999999999,2.6669778623380456,-4.0
251,0.6531158403212879,5.099899899899899,3.9999999999999996,2.677446474718737,-3.9999999999999996
252,0.6498943131487961,5.11981981981982,4.0,2.687904428877272,-4.0
253,0.646723872388059,5.139739739739739,3.9999999999999973,2.6983633633633626,-4.0
254,0.6435897417214405,5.159659659659659,3.9999999999999987,2.708821321321322,-4.0
255,0.6404642803977959,5.179579579579579,4.0,2.719271375868056,-3.9999999999999996
256,0.6374008299318726,5.199499499499499,4.0,2.7297293034306267,-3.9999999999999964
257,0.6340383231325887,5.219419419419419,4.0,2.7401951951951955,-3.999999999999999
258,0.630726549318848,5.239339339339339,4.0,2.750653153153153,-4.0
259,0.6273009691748466,5.259259259259259,3.999999999999999,2.761107098614728,-4.0
260,0.6237619306985489,5.279179179179178,4.0,2.771567055222031,-3.999999999999999
261,0.6200182344062772,5.299099099099099,4.0,2.782027027027029,-3.9999999999999987
262,0.6160644452711452,5.319019019019018,4.0,2.7924849849849847,-4.0
263,0.6120585376778658,5.338938938938939,4.0,2.8028777703484753,-3.999999999999997
264,0.6075299240066726,5.358858858858858,4.0,2.8133968124160535,-3.9999999999999982
265,0.6028733763838219,5.378778778778778,3.9999999999999996,2.8238588588588573,-4.0
266,0.5979232572730495,5.3986986986986985,4.0,2.8343168168168167,-4.0
267,0.592696093450922,5.418618618618618,3.9999999999999996,2.844774774774775,-4.0
268,0.5870799090936992,5.438538538538538,4.0,2.8552327327327327,-3.999999999999999
269,0.5811677663723074,5.458458458458458,4.0,2.8656906906906907,-4.0
270,0.574854016035423,5.478378378378378,4.0,2.8761486486486483,-4.0
271,0.5681966802630395,5.498298298298298,3.9999999999999996,2.886606606606607,-4.0
272,0.5611749403003523,5.518218218218218,3.9999999999999973,2.897064564564565,-4.0
273,0.5537570432858355,5.538138138138137,4.0,2.9075225225225223,-4.0
274,0.5459705229378768,5.558058058058058,4.0,2.9179804804804803,-4.0
275,0.5377995097037306,5.5779779779779775,3.9999999999999987,2.928438438438439,-4.0
276,0.5292041853021437,5.597897897897897,3.999999999999999,2.9388963963963963,-4.0
277,0.5202660372628569,5.6178178178178175,4.0,2.949354354354354,-3.9999999999999996
278,0.5109484510505533,5.637737737737737,3.999999999999999,2.959810161686038,-4.0
279,0.5017709572309439,5.657657657657657,3.9999999999999996,2.9702357386683556,-4.0
280,0.4912433114440794,5.677577577577577,3.9999999999999996,2.9807282282282284,-4.0
281,0.4808813541077832,5.697497497497497,3.999999999999999,2.9911861861861855,-4.0
282,0.47019125386649385,5.717417417417417,4.0,3.0016441441441444,-3.9999999999999996
283,0.4592308831607049,5.737337337337337,4.0,3.012102102102102,-4.0
284,0.44808565935735095,5.7572572572572565,4.0,3.0225600600600604,-3.999999999999999
285,0.4364818276589178,5.777177177177177,4.0,3.0330180180180175,-3.9999999999999982
286,0.42476266798760925,5.7970970970970965,4.0,3.0434759759759746,-3.999999999999999
287,0.41282335166663536,5.817017017017016,4.0,3.053933933933934,-3.999999999999999
288,0.4007086676565437,5.836936936936937,4.0,3.0643918918918924,-3.9999999999999996
289,0.3884721745857393,5.856856856856856,4.0,3.0748498498498495,-4.0
290,0.376139305270503,5.876776776776776,3.9999999999999996,3.085307807807807,-4.0
291,0.36367196561653775,5.896696696696696,4.0,3.0957657657657656,-4.0
292,0.35125992715205834,5.916616616616616,3.999999999999999,3.106223723723723,-4.0
293,0.3386608616169666,5.936536536536536,3.9999999999999996,3.1166816816816816,-4.0
294,0.32611868132740746,5.956456456456456,3.9999999999999996,3.127139639639639,-3.9999999999999982
295,0.3136486798843449,5.9763763763763755,4.0,3.1375975975975967,-3.9999999999999996
296,0.30126678187769607,5.996296296296296,3.9999999999999996,3.1480555555555556,-4.0
297,0.2889631603330535,6.016216216216216,3.999999999999999,3.1585135135135136,-4.0
298,0.27679499202137997,6.036136136136135,4.0,3.1689714714714707,-3.999999999999999
299,0.26480095849507757,6.056056056056056,4.0,3.179429429429428,-3.999999999999999
300,0.2624056638069411,6.075975975975975,3.999999999999999,3.0379879879879876,-4.0
301,0.2617932489464297,6.095895895895896,4.0,3.047947947947948,-4.0
302,0.2616872577275402,6.115815815815815,3.999999999999999,3.0579079079079077,-4.0
303,0.26210361467221915,6.135735735735735,4.0,3.067867867867868,-3.9999999999999987
304,0.2629526694118182,6.155655655655655,4.0,3.0778278278278277,-4.0
305,0.26433822586534866,6.175575575575575,4.0,3.0877877877877875,-3.999999999999999
306,0.26619213902521766,6.195495495495495,4.0,3.097747747747748,-3.999999999999999
307,0.26852689503309657,6.215415415415415,4.0,3.1077077077077075,-3.9999999999999996
308,0.2713126063378238,6.235335335335335,4.0,3.117667667667668,-3.9999999999999996
309,0.2745236184298864,6.255255255255254,3.9999999999999964,3.127627627627627,-4.0
310,0.27815701519650815,6.275175175175175,4.0,3.1375875875875874,-3.9999999999999996
311,0.2822067853040519,6.295095095095094,4.0,3.147547547547547,-4.0
312,0.2865818172717877,6.315015015015015,4.0,3.1575075075075074,-3.9999999999999996
313,0.2913011317751229,6.334934934934934,4.0,3.1674674674674677,-3.9999999999999996
314,0.2963499881418917,6.354854854854854,3.9999999999999996,3.177427427427427,-3.9999999999999996
315,0.30163889541149597,6.3747747747747745,4.0,3.1873873873873872,-4.0
316,0.30719260186406927,6.394694694694694,3.9999999999999996,3.197347347347348,-3.9999999999999996
317,0.31282087162542505,6.414614614614614,3.9999999999999996,3.207307307307307,-4.0
318,0.3188580208032568,6.434534534534534,4.0,3.217267267267268,-3.999999999999999
319,0.32497219544703965,6.454454454454454,4.0,3.227227227227227,-3.9999999999999996
